Module	Sous_Module	Type	Exercice	Série	Données	Catégorie	Afficher à la fin	Terme;Indice	Phrase Correcte	Réponse	Fichier Audio
1	1	Classique	3	3	de;beaux;pantalons;marron;.	2;3;1;3;0					s03d03.mp3
1	1	Classique	3	4	des;marrons;chauds;.	2;1;3;0					s03d04.mp3
1	1	Classique	3	5	des;mûres;sauvages;.	2;1;3;0					s03d05.mp3
1	1	Classique	3	6	quelques;grosses;cerises;mûres;.	2;3;1;3;0					s03d06.mp3
1	1	Classique	3	7	quelques;cerises;rouges;.	2;1;3;0					s03d07.mp3
1	1	Classique	3	8	un;rouge;vif;.	2;1;3;0					s03d08.mp3
1	1	Classique	3	9	plusieurs;couleurs;vives;.	2;1;3;0					s03d09.mp3
1	1	Classique	3	10	quelle;belle;couleur;.	2;3;1;0					s03d10.mp3
1	1	Classique	3	11	des;couleurs;lumineuses;.	2;1;3;0					s03d11.mp3
1	1	Classique	3	12	une;nouvelle;idée;lumineuse;.	2;3;1;3;0					s03d12.mp3
1	1	Classique	3	13	une;bonne;nouvelle;.	2;3;1;0					s03d13.mp3
1	1	Classique	3	14	un;nouvel;apprenti;sympathique;.	2;3;1;3;0					s03d14.mp3
1	1	Classique	3	15	de;nombreux;nouveaux;voisins;sympathiques;.	2;3;3;1;3;0					s03d15.mp3
1	1	Classique	4	1	un;téléphone;fixe;.	2;1;3;0					s04d01.mp3
1	1	Classique	4	2	un;nouveau;téléphone;.	2;3;1;0					s04d02.mp3
1	1	Classique	4	3	une;magnifique;moto;rouge;.	2;3;1;3;0					s04d03.mp3
1	1	Classique	4	4	un;puissant;camion;utilitaire;.	2;3;1;3;0					s04d04.mp3
1	1	Classique	4	5	de;puissants;radiateurs;électriques;.	2;3;1;3;0					s04d05.mp3
1	1	Classique	4	6	des;radiateurs;électriques;puissants;.	2;1;3;3;0					s04d06.mp3
1	1	Classique	4	7	plusieurs;scies;portatives;.	2;1;3;0					s04d07.mp3
1	1	Classique	4	8	quelques;vieux;clous;rouillés;.	2;3;1;3;0					s04d08.mp3
1	1	Classique	4	9	trois;vélos;récents;.	2;1;3;0					s04d09.mp3
1	1	Classique	4	10	un;petit;cahier;jaune;.	2;3;1;3;0					s04d10.mp3
1	1	Classique	4	11	un;jaune;éclatant;.	2;1;3;0					s04d11.mp3
1	1	Classique	4	12	un;feu;orange;clignotant;.	2;1;3;3;0					s04d12.mp3
1	1	Classique	4	13	un;ordinateur;portable;rapide;.	2;1;3;3;0					s04d13.mp3
1	1	Classique	4	14	deux;nouveaux;vélos;.	2;3;1;0					s04d14.mp3
1	1	Classique	4	15	un;clignotant;gauche;défectueux;.	2;1;3;3;0					s04d15.mp3
1	1	Classique	5	1	une;fête;annuelle;.	2;1;3;0					s05d01.mp3
1	1	Classique	5	2	une;année;pluvieuse;.	2;1;3;0					s05d02.mp3
1	1	Classique	5	3	une;pluie;fine;verglaçante;.	2;1;3;3;0					s05d03.mp3
1	1	Classique	5	4	une;fine;poussière;grise;.	2;3;1;3;0					s05d04.mp3
1	1	Classique	5	5	une;poussière;légère;.	2;1;3;0					s05d05.mp3
1	1	Classique	5	6	un;léger;verglas;matinal;.	2;3;1;3;0					s05d06.mp3
1	1	Classique	5	7	un;matin;ensoleillé;.	2;1;3;0					s05d07.mp3
1	1	Classique	5	8	un;soleil;voilé;.	2;1;3;0					s05d08.mp3
1	1	Classique	5	9	de;grandes;voiles;colorées;.	2;3;1;3;0					s05d09.mp3
1	1	Classique	5	10	des;couleurs;chaudes;.	2;1;3;0					s05d10.mp3
1	1	Classique	5	11	d';épais;vêtements;chauds;.	2;3;1;3;0					s05d11.mp3
1	1	Classique	5	12	une;forte;chaleur;nocturne;.	2;3;1;3;0					s05d12.mp3
1	1	Classique	5	13	des;nuits;agréables;.	2;1;3;0					s05d13.mp3
1	1	Classique	5	14	de;nombreux;jours;reposants;.	2;3;1;3;0					s05d14.mp3
1	1	Classique	5	15	plusieurs;belles;matinées;agréables;.	2;3;1;3;0					s05d15.mp3
1	1	Classique	6	1	un;sport;individuel;.	2;1;3;0					s06d01.mp3
1	1	Classique	6	2	de;nouveaux;sports;.	2;3;1;0					s06d02.mp3
1	1	Classique	6	3	un;sport;collectif;violent;.	2;1;3;3;0					s06d03.mp3
1	1	Classique	6	4	un;accident;grave;.	2;1;3;0					s06d04.mp3
1	1	Classique	6	5	des;voix;graves;.	2;1;3;0					s06d05.mp3
1	1	Classique	6	6	une;voiture;accidentée;.	2;1;3;0					s06d06.mp3
1	1	Classique	6	7	des;douleurs;récentes;fortes;.	2;1;3;3;0					s06d07.mp3
1	1	Classique	6	8	une;prestation;sociale;avantageuse;.	2;1;3;3;0					s06d08.mp3
1	1	Classique	6	9	des;avantages;sociaux;importants;.	2;1;3;3;0					s06d09.mp3
1	1	Classique	6	10	un;bon;restaurant;économique;.	2;3;1;3;0					s06d10.mp3
1	1	Classique	6	11	une;économie;locale;forte;.	2;1;3;3;0					s06d11.mp3
1	1	Classique	6	12	un;nouveau;local;commercial;.	2;3;1;3;0					s06d12.mp3
1	1	Classique	6	13	des;histoires;passionnantes;.	2;1;3;0					s06d13.mp3
1	1	Classique	6	14	une;petite;école;publique;.	2;3;1;3;0					s06d14.mp3
1	1	Classique	6	15	une;publicité;mensongère;.	2;1;3;0					s06d15.mp3
1	2	Démo	0	1	une;liberté;des;libertés						
1	2	Démo	0	2	un;portail;des;portails						
1	2	Démo	0	3	un;bal;des;bals						
1	2	Démo	0	4	un;écrou;des;écrous						
1	2	Démo	0	5	un;rail;des;rails						
1	2	Démo	0	6	un;enfant;des;enfants						
1	2	Démo	0	7	une;rue;des;rues  						
1	2	Démo	0	8	une;chemise;des;chemises						
1	2	Démo	0	9	une;sœur;des;sœurs						
1	2	Démo	0	10	un;cousin;des;cousins						
1	2	Démo	0	11	une;pensée;des;pensées						
1	2	Démo	0	12	un;sou;des;sous						
1	2	Classique	1	1	une;liberté;des;libertés						
1	2	Classique	1	2	un;portail;des;portails						
1	2	Classique	1	3	un;bal;des;bals						
1	2	Classique	1	4	un;écrou;des;écrous						
1	2	Classique	1	5	un;rail;des;rails						
1	2	Classique	1	6	un;enfant;des;enfants						
1	2	Classique	1	7	une;rue;des;rues  						
1	2	Classique	1	8	une;chemise;des;chemises						
1	2	Classique	1	9	une;sœur;des;sœurs						
1	2	Classique	1	10	un;cousin;des;cousins						
1	2	Classique	1	11	une;pensée;des;pensées						
1	2	Classique	1	12	un;sou;des;sous						
1	2	Classique	2	1	un;caillou;des;cailloux						
1	2	Classique	2	2	un;pou;des;poux						
1	2	Classique	2	3	un;festival;des;festivals						
1	2	Classique	2	4	un;râteau;des;râteaux						
1	2	Classique	2	5	un;cheveu;des;cheveux						
1	2	Classique	2	6	un;manteau;des;manteaux						
1	2	Classique	2	7	un;chou;des;choux						
1	2	Classique	2	8	un;neveu;des;neveux						
1	2	Classique	2	9	une;santé;des;santés						
1	2	Classique	2	10	un;clou;des;clous						
1	2	Classique	2	11	un;pneu;des;pneus						
1	2	Classique	2	12	une;paille;des;pailles						
1	2	Classique	3	1	un;bus;des;bus						
1	2	Classique	3	2	un;procès;des;procès						
1	2	Classique	3	3	un;bateau;des;bateaux						
1	2	Classique	3	4	un;jeu;des;jeux						
1	2	Classique	3	5	un;puits;des;puits						
1	2	Classique	3	6	un;chapeau;des;chapeaux						
1	2	Classique	3	7	un;bras;des;bras						
1	2	Classique	3	8	un;matelas;des;matelas						
1	2	Classique	3	9	un;tuyau;des;tuyaux						
1	2	Classique	3	10	un;genou;des;genoux						
1	2	Classique	3	11	un;pas;des;pas						
1	2	Classique	3	12	un;univers;des;univers						
1	2	Classique	4	1	un;trou;des;trous						
1	2	Classique	4	2	une;paix;des;paix						
1	2	Classique	4	3	un;récital;des;récitals						
1	2	Classique	4	4	un;détail;des;détails						
1	2	Classique	4	5	une;croix;des;croix						
1	2	Classique	4	6	un;peureux;des;peureux						
1	2	Classique	4	7	un;secours;des;secours						
1	2	Classique	4	8	un;enjeu;des;enjeux						
1	2	Classique	4	9	un;pieu;des;pieux						
1	2	Classique	4	10	une;faux;des;faux						
1	2	Classique	4	11	un;remords;des;remords						
1	2	Classique	4	12	une;vis;des;vis						
1	2	Classique	5	1	un;bois;des;bois						
1	2	Classique	5	2	une;fourmi;des;fourmis						
1	2	Classique	5	3	une;noix;des;noix						
1	2	Classique	5	4	un;gaz;des;gaz						
1	2	Classique	5	5	un;refus;des;refus						
1	2	Classique	5	6	un;cactus;des;cactus						
1	2	Classique	5	7	un;nez;des;nez						
1	2	Classique	5	8	un;houx;des;houx						
1	2	Classique	5	9	un;taudis;des;taudis						
1	2	Classique	5	10	un;filou;des;filous						
1	2	Classique	5	11	un;verrou;des;verrous						
1	2	Classique	5	12	un;tissu;des;tissus						
1	2	Classique	6	1	un;bisou;des;bisous						
1	2	Classique	6	2	un;matériel;des;matériels						
1	2	Classique	6	3	un;pari;des;paris						
1	2	Classique	6	4	un;lynx;des;lynx						
1	2	Classique	6	5	une;merguez;des;merguez						
1	2	Classique	6	6	un;signal;des;signaux						
1	2	Classique	6	7	un;hibou;des hiboux						
1	2	Classique	6	8	un;métal;des;métaux						
1	2	Classique	6	9	un;tapis;des;tapis						
1	2	Classique	6	10	un;journal;des journaux						
1	2	Classique	6	11	un;outil;des;outils						
1	2	Classique	6	12	un;vœu;des;vœux						
1	2	Classique	7	1	un;accès;des;accès						
1	2	Classique	7	2	un;corail;des;coraux						
1	2	Classique	7	3	un;lycée;des;lycées						
1	2	Classique	7	4	un;bijou;des;bijoux						
1	2	Classique	7	5	un;épi;des;épis						
1	2	Classique	7	6	un;carnaval;des;carnavals						
1	2	Classique	7	7	un;fusil;des;fusils						
1	2	Classique	7	8	une;soie;des;soies						
1	2	Classique	7	9	un;chameau;des;chameaux						
1	2	Classique	7	10	un;hôpital;des;hôpitaux						
1	2	Classique	7	11	un;travail;des;travaux						
1	2	Classique	7	12	un;incendie;des;incendies						
1	2	Classique	8	1	un;régal;des;régals						
1	2	Classique	8	2	un;épouvantail;des;épouvantails						
1	2	Classique	8	3	un;jus;des;jus						
1	2	Classique	8	4	un;quiz;des;quiz						
1	2	Classique	8	5	un;e-mail;des;e-mails						
1	2	Classique	8	6	un;matériau;des;matériaux						
1	2	Classique	8	7	un;prix;des;prix						
1	2	Classique	8	8	un;colis;des;colis						
1	2	Classique	8	9	un;morceau;des;morceaux						
1	2	Classique	8	10	un;signal;des;signaux						
1	2	Classique	8	11	un;creux;des;creux						
1	2	Classique	8	12	un;musée;des;musées						
1	2	Classique	9	1	un;concours;des;concours						
1	2	Classique	9	2	un;choix;des;choix						
1	2	Classique	9	3	un;vitrail;des;vitraux						
1	2	Classique	9	4	un;fou;des;fous						
1	2	Classique	9	5	un;feu;des;feux						
1	2	Classique	9	6	un;œil;des;yeux						
1	2	Classique	9	7	un;cadeau;des;cadeaux						
1	2	Classique	9	8	une;souris;des;souris						
1	2	Classique	9	9	un;mois;des;mois						
1	2	Classique	9	10	un;temps;des;temps						
1	2	Classique	9	11	un;mal;des;maux						
1	2	Classique	9	12	un;rideau;des;rideaux						
1	2	Classique	10	1	une;histoire;des;histoires						
1	2	Classique	10	2	une;odeur;des;odeurs 						
1	2	Classique	10	3	une;voix;des;voix 						
1	2	Classique	10	4	un;tableau;des;tableaux 						
1	2	Classique	10	5	une;loi;des;lois 						
1	2	Classique	10	6	un;minéral;des;minéraux 						
1	2	Classique	10	7	un;rébus;des;rébus 						
1	2	Classique	10	8	une;journée;des;journées 						
1	2	Classique	10	9	un;abus;des;abus 						
1	2	Classique	10	10	un;oiseau;des;oiseaux 						
1	2	Classique	10	11	une;peau;des;peaux 						
1	2	Classique	10	12	un;parapluie;des;parapluies 						
1	3	Classique	0	1	un;ami	2;1;1;1 					demod01.mp3
1	3	Classique	0	2	des;amis	2;2;1;2 					demod02.mp3
1	3	Découvrir	1	1	un;ami	2;1;1;1 					s01p1d01.mp3
1	3	Découvrir	1	2	des;amis	2;2;1;2 					s01p1d02.mp3
1	3	Découvrir	1	3	une;loi	2;1;1;1					s01p1d03.mp3
1	3	Découvrir	1	4	des;lois	2;2;1;2					s01p1d04.mp3
1	3	Découvrir	1	5	des;musées	2;2;1;2					s01p1d05.mp3
1	3	Découvrir	1	6	un;musée	2;1;1;1					s01p1d06.mp3
1	3	Découvrir	1	7	le;mur	2;1;1;1					s01p1d07.mp3
1	3	Découvrir	1	8	les;murs	2;2;1;2					s01p1d08.mp3
1	3	Pratiquer	1	1	trois;ponts	2;2;1;2	un pont - trois ponts				s01p2d01.mp3
1	3	Pratiquer	1	2	ma;sœur	2;1;1;1	ma sœur - mes sœurs				s01p2d02.mp3
1	3	Pratiquer	1	3	leurs;enfants	2;2;1;2	leur enfant - leurs enfants				s01p2d03.mp3
1	3	Pratiquer	1	4	des;chemises	2;2;1;2	une chemise - des chemises				s01p2d04.mp3
1	3	Pratiquer	1	5	une;maison	2;1;1;1	une maison - des maisons				s01p2d05.mp3
1	3	Pratiquer	1	6	la;rue	2;1;1;1	la rue – les rues				s01p2d06.mp3
1	3	Pratiquer	1	7	quelques;écrous	2;2;1;2	un écrou - quelques écrous				s01p2d07.mp3
1	3	Pratiquer	1	8	des;e-mails	2;2;1;2	un e-mail - des e-mails				s01p2d08.mp3
1	3	Pratiquer	1	9	le;bal	2;1;1;1	le bal - les bals				s01p2d09.mp3
1	3	Pratiquer	1	10	un;verrou	2;1;1;1	un verrou - des verrous				s01p2d10.mp3
1	3	Pratiquer	1	11	des;rails	2;2;1;2	un rail - des rails				s01p2d11.mp3
1	3	Pratiquer	1	12	son;cousin	2;1;1;1	son cousin - ses cousins				s01p2d12.mp3
1	3	Pratiquer	1	13	ses cousines	2;2;1;2	sa cousine - ses cousines				s01p2d13.mp3
1	3	Pratiquer	1	14	une pensée	2;1;1;1	une pensée - des pensées				s01p2d14.mp3
1	3	Pratiquer	1	15	la nouveauté	2;1;1;1	la nouveauté - les nouveautés				s01p2d15.mp3
1	3	Découvrir	2	1	un;bureau	2;1;1;1					s02p1d01.mp3
1	3	Découvrir	2	2	des;bureaux	2;2;1;2					s02p1d02.mp3
1	3	Découvrir	2	3	quelques;tuyaux	2;2;1;2					s02p1d03.mp3
1	3	Découvrir	2	4	un;tuyau	2;1;1;1					s02p1d04.mp3
1	3	Découvrir	2	5	des;feux	2;2;1;2					s02p1d05.mp3
1	3	Découvrir	2	6	un;feu	2;1;1;1					s02p1d06.mp3
1	3	Découvrir	2	7	un;caillou	2;1;1;1					s02p1d07.mp3
1	3	Découvrir	2	8	trois;cailloux	2;2;1;2					s02p1d08.mp3
1	3	Pratiquer	2	1	un;chou	2;1;1;1;2	un chou - des choux				s02p2d01.mp3
1	3	Pratiquer	2	2	un;clou	2;1;1;1;1	un clou - des clous				s02p2d02.mp3
1	3	Pratiquer	2	3	un;portail	2;1;1;1;1	un portail - des portails				s02p2d03.mp3
1	3	Pratiquer	2	4	une;taille	2;1;1;1;1	une taille - des tailles				s02p2d04.mp3
1	3	Pratiquer	2	5	quatre;pneus	2;2;1;2;1	un pneu - quatre pneus				s02p2d05.mp3
1	3	Pratiquer	2	6	des;panneaux	2;2;1;2;2	un panneau - des panneaux				s02p2d06.mp3
1	3	Pratiquer	2	7	ses;couleurs	2;2;1;2;1	sa couleur - ses couleurs				s02p2d07.mp3
1	3	Pratiquer	2	8	des;poux	2;2;1;2;2	un pou - des poux				s02p2d08.mp3
1	3	Pratiquer	2	9	l';unité	2;1;1;1;1	l'unité - les unités				s02p2d09.mp3
1	3	Pratiquer	2	10	des;revues	2;2;1;2;1	une revue - des revues				s02p2d10.mp3
1	3	Pratiquer	2	11	un;cheveu	2;1;1;1;2	un cheveu - des cheveux				s02p2d11.mp3
1	3	Pratiquer	2	12	mon;réseau	2;1;1;1;2	mon réseau - mes réseaux				s02p2d12.mp3
1	3	Pratiquer	2	13	plusieurs;festivals	2;2;1;2;1	un festival - plusieurs festivals				s02p2d13.mp3
1	3	Pratiquer	2	14	une;femme	2;1;1;1;1	une femme - des femmes				s02p2d14.mp3
1	3	Pratiquer	2	15	son;cocktail	2;1;1;1;1	son cocktail - ses cocktails				s02p2d15.mp3
1	3	Découvrir	3	1	une;souris	2;1;1;1					s03p1d01.mp3
1	3	Découvrir	3	2	plusieurs;souris	2;2;1;2					s03p1d02.mp3
1	3	Découvrir	3	3	des;colis	2;2;1;2 					s03p1d03.mp3
1	3	Découvrir	3	4	un;colis	2;1;1;1					s03p1d04.mp3
1	3	Découvrir	3	5	un;virus	2;1;1;1					s03p1d05.mp3
1	3	Découvrir	3	6	quelques;virus	2;2;1;2					s03p1d06.mp3
1	3	Découvrir	3	7	certains;pays	2;2;1;2					s03p1d07.mp3
1	3	Découvrir	3	8	un;pays	2;1;1;1					s03p1d08.mp3
1	3	Pratiquer	3	1	un;jus	2;1;1;1;3	un jus - des jus				s03p2d01.mp3
1	3	Pratiquer	3	2	des;cas	2;2;1;2;3	un cas - des cas				s03p2d02.mp3
1	3	Pratiquer	3	3	son;morceau	2;1;1;1;2	son morceau - ses morceaux				s03p2d03.mp3
1	3	Pratiquer	3	4	quatre;niveaux	2;2;1;2;2	un niveau - quatre niveaux				s03p2d04.mp3
1	3	Pratiquer	3	5	des;radis	2;2;1;2;3	un radis - des radis				s03p2d05.mp3
1	3	Pratiquer	3	6	la;table	2;1;1;1;1	la table - les tables				s03p2d06.mp3
1	3	Pratiquer	3	7	des;jeux	2;2;1;2;2	un jeu - des jeux				s03p2d07.mp3
1	3	Pratiquer	3	8	un;bleu	2;1;1;1;1	un bleu - des bleus				s03p2d08.mp3
1	3	Pratiquer	3	9	des;devis	2;2;1;2;3	un devis - des devis				s03p2d09.mp3
1	3	Pratiquer	3	10	un;bus	2;1;1;1;3	un bus - des bus				s03p2d10.mp3
1	3	Pratiquer	3	11	un;genou	2;1;1;1;2	un genou - des genoux				s03p2d11.mp3
1	3	Pratiquer	3	12	un;loup	2;1;1;1;1	un loup - des loups				s03p2d12.mp3
1	3	Pratiquer	3	13	des;choux	2;2;1;2;2	un chou - des choux				s03p2d13.mp3
1	3	Pratiquer	3	14	des;pas	2;2;1;2;3	un pas - des pas				s03p2d14.mp3
1	3	Pratiquer	3	15	des;engrais	2;2;1;2;3	un engrais - des engrais				s03p2d15.mp3
1	3	Découvrir	4	1	un;prix	2;1;1;1					s04p1d01.mp3
1	3	Découvrir	4	2	des;prix	2;2;1;2					s04p1d02.mp3
1	3	Découvrir	4	3	quelques;croix	2;2;1;2					s04p1d03.mp3
1	3	Découvrir	4	4	une;croix	2;1;1;1					s04p1d04.mp3
1	3	Découvrir	4	5	la;toux	2;1;1;1					s04p1d05.mp3
1	3	Découvrir	4	6	des;toux	2;2;1;2					s04p1d06.mp3
1	3	Découvrir	4	7	des;vieux	2;2;1;2					s04p1d07.mp3
1	3	Découvrir	4	8	un;vieux	2;1;1;1					s04p1d08.mp3
1	3	Pratiquer	4	1	des;peureux	2;2;1;2;4	un peureux - des peureux				s04p2d01.mp3
1	3	Pratiquer	4	2	une;vis	2;1;1;1;3	une vis - des vis				s04p2d02.mp3
1	3	Pratiquer	4	3	une;paix	2;1;1;1;4	une paix - des paix				s04p2d03.mp3
1	3	Pratiquer	4	4	un;discours	2;1;1;1;3	un discours - des discours				s04p2d04.mp3
1	3	Pratiquer	4	5	des;enjeux	2;2;1;2;2	un enjeu - des enjeux				s04p2d05.mp3
1	3	Pratiquer	4	6	une;roue	2;1;1;1;1	une roue - des roues				s04p2d06.mp3
1	3	Pratiquer	4	7	un;aveu	2;1;1;1;2	un aveu - des aveux				s04p2d07.mp3
1	3	Pratiquer	4	8	dix;allées	2;2;1;2;1	une allée - dix allées				s04p2d08.mp3
1	3	Pratiquer	4	9	un;client	2;1;1;1;1	un client - des clients				s04p2d09.mp3
1	3	Pratiquer	4	10	une;faux	2;1;1;1;4	une faux - des faux				s04p2d10.mp3
1	3	Pratiquer	4	11	des;secours	2;2;1;2;3	un secours - des secours				s04p2d11.mp3
1	3	Pratiquer	4	12	des;chacals	2;2;1;2;1	un chacal – des chacals				s04p2d12.mp3
1	3	Pratiquer	4	13	un;détail	2;1;1;1;1	un détail - des détails				s04p2d13.mp3
1	3	Pratiquer	4	14	un;coucou	2;1;1;1;1	un coucou - des coucous				s04p2d14.mp3
1	3	Pratiquer	4	15	la;perdrix	2;1;1;1;4	la perdrix - les perdrix				s04p2d15.mp3
1	3	Découvrir	5	1	un;gaz	2;1;1;1					s05p1d01.mp3
1	3	Découvrir	5	2	des;gaz	2;2;1;2					s05p1d02.mp3
1	3	Découvrir	5	3	un;riz	2;1;1;1					s05p1d03.mp3
1	3	Découvrir	5	4	des;riz	2;2;1;2					s05p1d04.mp3
1	3	Découvrir	5	5	des;quartz	2;2;1;2					s05p1d05.mp3
1	3	Découvrir	5	6	un;quartz	2;1;1;1					s05p1d06.mp3
1	3	Découvrir	5	7	du;jazz	2;1;1;1					s05p1d07.mp3
1	3	Découvrir	5	8	des;jazz	2;2;1;2					s05p1d08.mp3
1	3	Pratiquer	5	1	un;nez	2;1;1;1;5	un nez - des nez				s05p2d01.mp3
1	3	Pratiquer	5	2	du;houx	2;1;1;1;4	du houx - des houx				s05p2d02.mp3
1	3	Pratiquer	5	3	des;cactus	2;2;1;2;3	un cactus - des cactus				s05p2d03.mp3
1	3	Pratiquer	5	4	un;bordereau	2;1;1;1;2	un bordereau – des bordereaux				s05p2d04.mp3
1	3	Pratiquer	5	5	des;taudis	2;2;1;2;3	un taudis - des taudis				s05p2d05.mp3
1	3	Pratiquer	5	6	le;bois	2;1;1;1;3	le bois - les bois				s05p2d06.mp3
1	3	Pratiquer	5	7	des;boites	2;2;1;2;1	une boite - des boites				s05p2d07.mp3
1	3	Pratiquer	5	8	une;fourmi	2;1;1;1;1	une fourmi - des fourmis				s05p2d08.mp3
1	3	Pratiquer	5	9	des;filous	2;2;1;2;1	un filou - des filous				s05p2d09.mp3
1	3	Pratiquer	5	10	un;voyou	2;1;1;1;1	un voyou - des voyous				s05p2d10.mp3
1	3	Pratiquer	5	11	un;régal	2;1;1;1;1	un régal - des régals				s05p2d11.mp3
1	3	Pratiquer	5	12	un;matériau	2;1;1;1;2	un matériau - des matériaux				s05p2d12.mp3
1	3	Pratiquer	5	13	des;plaies	2;2;1;2;1	une plaie - des plaies				s05p2d13.mp3
1	3	Pratiquer	5	14	du;tissu	2;1;1;1;1	du tissu - des tissus				s05p2d14.mp3
1	3	Pratiquer	5	15	les;noix	2;2;1;2;4	la noix - les noix				s05p2d15.mp3
1	3	Découvrir	6	1	un;journal	2;1;1;1					s06p1d01.mp3
1	3	Découvrir	6	2	plusieurs;journaux	2;2;1;2					s06p1d02.mp3
1	3	Découvrir	6	3	un;local	2;1;1;1					s06p1d03.mp3
1	3	Découvrir	6	4	des;locaux						s06p1d04.mp3
1	3	Découvrir	6	5	un;animal	2;1;1;1					s06p1d05.mp3
1	3	Découvrir	6	6	des;animaux	2;2;1;2					s06p1d06.mp3
1	3	Découvrir	6	7	trois;chevaux	2;2;1;2					s06p1d07.mp3
1	3	Découvrir	6	8	un;cheval	2;1;1;1					s06p1d08.mp3
1	3	Pratiquer	6	1	des;signaux	2;2;1;2;6	un signal - des signaux				s06p2d01.mp3
1	3	Pratiquer	6	2	une;merguez	2;1;1;1;5	une merguez - des merguez				s06p2d02.mp3
1	3	Pratiquer	6	3	des;lynx	2;2;1;2;4	un lynx - des lynx				s06p2d03.mp3
1	3	Pratiquer	6	4	un;vœu	2;1;1;1;2	un vœu - des vœux				s06p2d04.mp3
1	3	Pratiquer	6	5	des;tapis	2;2;1;2;3	un tapis - des tapis				s06p2d05.mp3
1	3	Pratiquer	6	6	des;paris	2;2;1;2;1	un pari - des paris				s06p2d06.mp3
1	3	Pratiquer	6	7	le;riz	2;1;1;1;5	le riz - les riz				s06p2d07.mp3
1	3	Pratiquer	6	8	des;outils	2;2;1;2;1	un outil - des outils				s06p2d08.mp3
1	3	Pratiquer	6	9	des;bisous	2;2;1;2;1	un bisou - des bisous				s06p2d09.mp3
1	3	Pratiquer	6	10	des;hiboux	2;2;1;2;2	un hibou - des hiboux				s06p2d10.mp3
1	3	Pratiquer	6	11	des;matériels	2;2;1;2;1	un matériel - des matériels				s06p2d11.mp3
1	3	Pratiquer	6	12	un;métal	2;1;1;1;6	un métal - des métaux				s06p2d12.mp3
1	3	Pratiquer	6	13	un;quiz	2;1;1;1;5	un quiz - des quiz				s06p2d13.mp3
