Module	Sous_Module	Type	Exercice	Série	Données	Catégories	Phrase à associer	Cadre	Association	Nouveau Mot	Réponse	Groupe à Remplacer	Fichiers Audio
4	4	Classique	1	1	Elle;se;coiffe;.		Elle;coiffe;elle-même;.	1					
4	5	Classique	1	1	Léo;dit;:;«;Je;me;laverai;les;mains;soigneusement;.;»	[6,1,1],[6,1,6],[6,10,5],[7],[8]					Je;me;les;laverai;soigneusement;.	les;mains	
4	5	Classique	1	2	Aicha;dit;à;sa;collègue;:;«;Tu;te;procureras;les;instruments;médicaux;.;»	[6,2,2],[6,2,7],[6,10,4],[7]					Tu;te;les;procureras;.	les;instruments;médicaux	
4	5	Classique	1	3	Lola;et;Fanny;disent;:;«;Nous;nous;transmettrons;les;informations;par;texto;.;»	[6,7,2],[6,7,7],[6,10,5],[7],[4],[1]					Nous;nous;les;transmettrons;par;texto;.	les;informations	
4	5	Classique	1	4	Un;mari;dit;à;sa;femme;:;«;Tu;te;rappelleras;nos;plus;beaux;souvenirs;.;»	[6,2,2],[6,2,7],[6,10,4],[7]					Tu;te;les;rappelleras;.	nos;plus;beaux;souvenirs	
4	5	Classique	1	5	Lola;dit;à;Abdel;:;«;Tu;te;fais;trop;de;souci;.;»	[6,2,1],[6,2,6],[6,5,4],[7],[8]					Tu;t';en;fais;trop;.	du;souci	
4	5	Classique	1	6	Diego;dit;de;Léna;:;«;Elle;se;charge;du;dossier;.;»	[6,3,2],[6,3,5],[6,5,6],[7]					Elle;s';en;charge;.	du;dossier	
4	5	Classique	1	7	Lola;dit;à;John;:;«;Nous;nous;rappellerons;ces;vacances;à;l';hôpital;.;»	[6,7,1],[6,7,6],[6,10,5],[7]					Nous;nous;les;rappellerons;.	ces;vacances;à;l';hôpital	
4	5	Classique	1	8	Chloé;dit;des;garçons;:;«;Ils;s';occupent;l';esprit;.;»	[6,9,1],[6,9,6],[6,4,4],[7]					Ils;se;l';occupent;.	l';esprit	
4	5	Classique	1	9	Alex;dit;des;infirmières;:;«;Elles;se;disputent;le;terrain;.;»	[6,9,2],[6,9,7],[6,4,4],[7]					Elles;se;le;disputent;.	le;terrain	
4	5	Classique	1	10	Alex;dit;à;Louise;:;«;Tu;te;feras;certainement;des;amis;.;»	[6,2,2],[6,2,7],[6,11,4],[7],[8]					Tu;t';en;feras;certainement;.	des;amis	
4	6	Classique	1	1	Il;les;accueille;.		Yann;accueille;sa;mère;.		2;4				
4	6	Classique	1	1			Antoine;accueille;les;premiers;clients;.						
4	6	Classique	1	1			Sabine;accueille;le;personnel;de;l';agence;.						
4	6	Classique	1	1			Fabrice;accueille;les;retardataires;.						
4	6	Classique	1	1			Cette;responsable;de;l';agence;accueille;les;nouvelles;idées;.						
4	6	Classique	1	1									
4	6	Classique	1	1									
4	7	Classique	1	1	Je;les;cueille;.					Tu;1			
4	7	Classique	1	1	Tu;les;cueilles;.					le;2			
4	7	Classique	1	1	Tu;le;cueilles;.					envoies;3			
4	7	Classique	1	1	Tu;l';envoies;.					Elles;1			
4	7	Classique	1	1	Elles;l';envoient;.					les;2			
4	7	Classique	1	1	Elles;les;envoient;.					manges;3			
4	7	Classique	1	1	Tu;les;manges;.					Nous;1			
4	7	Classique	1	1	Nous;les;mangeons;.					la;2			
4	7	Classique	1	1	Nous;la;mangeons;.					places;3			
4	7	Classique	1	1	Tu;la;places;.					Nous;1			
4	7	Classique	1	1	Nous;la;plaçons;.					Je;1			
4	7	Classique	1	1	Je;la;place;.					les;2			
4	7	Classique	1	1	Je;les;place;.					voyez;3			
4	7	Classique	1	1	Vous;les;voyez;.					Je;1			
4	7	Classique	1	1	Je;les;vois;.					Elles;1			
4	7	Classique	1	1	Elles;les;voient;.					le;2			
4	7	Classique	1	1	Elles;le;voient;.					tenons;3			
4	7	Classique	1	1	Nous;le;tenons;.					Il;1			
4	7	Classique	1	1	Il;le;tient;.					les;2			
4	7	Classique	1	1	Il;les;tient;.					Elles;1			
4	7	Classique	1	1	Elles;les;tiennent;.								
