Module	Sous_Module	Type	Exercice	Série	Données	Catégorie	Phrase à completer	Verbe	Terminaison	Pronom	Réponse	Suite Mots	Infinitif	Fichiers Audio
3	1	Pratiquer	0	15	elle;remue	1;ue								
3	1	Pratiquer	0	16	ils;renouent	8;ouent								
3	1	Pratiquer	0	17	elle;contribue	1;ue								
3	1	Pratiquer	0	18	elles;clouent	8;ouent								
3	1	Pratiquer	0	19	je;secoue	6;oue								
3	1	Pratiquer	0	20	elle;dissout	12;out								
3	1	Pratiquer	0	21	tu;mouds	9;ouds								
3	1	Découvrir	1	1	je;joue	6;oue	Je;ne;joue;pas;à;ce;jeu-là;.							
3	1	Découvrir	1	2	j';avoue	6;oue	J';avoue;mon;ignorance;à;ce;sujet;!							
3	1	Découvrir	1	3	on;distribue	1;ue	On;distribue;un;million;de;tracts;par;an;.							
3	1	Découvrir	1	4	tu;conclus	4;us	Qu'est-ce;que;/tu;en;conclus;?							
3	1	Découvrir	1	5	elle;exclut	5;ut	Elle;n'exclut;aucune;piste;.							
3	1	Découvrir	1	6	tu;dénoues	7;oues	Tu;dénoues;tes;tensions;par;une;respiration;profonde;.							
3	1	Découvrir	1	7	ils;incluent	3;uent	Ils;incluent;les;frais;de;transport;dans;leurs;prix;.							
3	1	Découvrir	1	8	tu;éternues	2;ues	Tu;éternues;souvent;,;tu;as;froid;?							
3	1	Découvrir	1	9	ils;continuent	3;uent	Ils;continuent;d';avancer;malgré;les;difficultés;.							
3	1	Découvrir	1	10	il;recoud	10;oud	Le;travail;de;l';association;recoud;le;lien;familial;et;social;. 							
3	1	Découvrir	1	11	tu;mues	2;ues	Vu;les;variations;actuelles;de;ta;voix;,;je;pense;que;tu;mues;.							
3	1	Découvrir	1	12	je;résous	11;ous	Je;résous;facilement;les;problèmes;informatiques;.							
3	1	Découvrir	1	13	elles;polluent	3;uent	Certaines;usines;polluent;l'atmosphère;.							
3	1	Découvrir	1	14	tu;salues	2;ues	Pourquoi;ne;salues-tu;pas;cette;décision;?							
3	1	Découvrir	1	15	elle;remue	1;ue	Elle;remue;ciel;et;terre;pour;retrouver;son;frère;.							
3	1	Découvrir	1	16	ils;renouent	8;ouent	Ils;renouent;des;liens;d'amitié;.							
3	1	Découvrir	1	17	elle;contribue	1;ue	La;médiation;contribue;à;améliorer;la;communication;.							
3	1	Découvrir	1	18	elles;clouent	8;ouent	Les;intempéries;clouent;les;avions;au;sol;.							
3	1	Découvrir	1	19	je;secoue	6;oue	Je;secoue;la;tête;en;signe;de;désapprobation;.							
3	1	Découvrir	1	20	elle;dissout	12;out	Elle;dissout;son;chagrin;dans;l';alcool;.							
3	1	Découvrir	1	21	tu;mouds	9;ouds	Tu;mouds;un;échantillon;de;café;pour;le;déguster;.							
3	1	Pratiquer	1	1	je;joue	6;oue								
3	1	Pratiquer	1	2	j';avoue	6;oue								
3	1	Pratiquer	1	3	on;distribue	1;ue								
3	1	Pratiquer	1	4	tu;conclus	4;us								
3	1	Pratiquer	1	5	elle;exclut	5;ut								
3	1	Pratiquer	1	6	tu;dénoues	7;oues								
3	1	Pratiquer	1	7	ils;incluent	3;uent								
3	1	Pratiquer	1	8	tu;éternues	2;ues								
3	1	Pratiquer	1	9	ils;continuent	3;uent								
3	1	Pratiquer	1	10	il;recoud	10;oud								
3	1	Pratiquer	1	11	tu;mues	2;ues								
3	1	Pratiquer	1	12	je;résous	11;ous								
3	1	Pratiquer	1	13	elles;polluent	3;uent								
3	1	Pratiquer	1	14	tu;salues	2;ues								
3	1	Pratiquer	1	15	elle;remue	1;ue								
3	1	Pratiquer	1	16	ils;renouent	8;ouent								
3	1	Pratiquer	1	17	elle;contribue	1;ue								
3	1	Pratiquer	1	18	elles;clouent	8;ouent								
3	1	Pratiquer	1	19	je;secoue	6;oue								
3	1	Pratiquer	1	20	elle;dissout	12;out								
3	1	Pratiquer	1	21	tu;mouds	9;ouds								
3	1	Découvrir	2	1	tu;trahis	6;hit	Ne;trahis-tu;pas;tes;idées;en;acceptant;ce;poste?							
3	1	Découvrir	2	2	j';appuie	1;ie	J';appuie;sans;réserve;cette;demande;.							
3	1	Découvrir	2	3	on;fuit	5;it	On;fuit;les;fortes;chaleurs;depuis;plus;d'un;mois;.							
3	1	Découvrir	2	4	tu;essuies	2;ies	Essuies;-;tu;souvent;l';écran;de;ton;ordinateur;?							
3	1	Découvrir	2	5	il;apprécie	1;ie	Il;apprécie;les;compliments;!							
3	1	Découvrir	2	6	tu;relies	2;ies	Tu;relies;bien;ici;les;résultats;avec;les;travaux;antérieurs;.							
3	1	Découvrir	2	7	ils;modifient	3;ient	Ils;modifient;peu;leur;stratégie;de;communication;.							
3	1	Découvrir	2	8	tu;reproduis	4;is	Tu;reproduis;cette;initiative;avec;succès;.							
3	1	Découvrir	2	9	ils;oublient	3;ient	Ils;oublient;parfois;les;consignes;.							
3	1	Découvrir	2	10	je;simplifie	1;ie	Je;simplifie;le;discours;original;avant;de;le;diffuser;.							
3	1	Découvrir	2	11	elles;sourient	3;ient	Certaines;personnes;ne;sourient;jamais;.							
3	1	Découvrir	2	12	je;conduis	4;is	Je;conduis;depuis;25;ans;,;sans;le;moindre;accident;.							
3	1	Découvrir	2	13	ils;remercient	3;ient	Ils;remercient;leurs;hôtes;chaleureusement;.							
3	1	Découvrir	2	14	je;parie	1;ie	Je;parie;volontiers;sur;la;réussite;de;ce;projet;.							
3	1	Découvrir	2	15	elle;étudie	1;ie	Elle;étudie;les;solutions;alternatives;.							
3	1	Découvrir	2	16	il;réfléchit	5;it	Il;réfléchit;à;quelques;exemples;parlants;.							
3	1	Découvrir	2	17	tu;relis	4;is	Est-ce;que;tu;relis;ton;texte;avant;de;l'imprimer;?							
3	1	Découvrir	2	18	il;agit	5;it	Ce;commercial;agit;avec;adresse;.							
3	1	Découvrir	2	19	j';écris	4;is	J';écris;à;mon;supérieur;avant;de;vous;répondre;.							
3	1	Découvrir	2	20	elle;poursuit	5;it	Elle;poursuit;des;études;de;droit;.							
3	1	Découvrir	2	21	tu;suis	4;is	Suis;-;tu;les;conseils;de;ce;nutritionniste;?							
3	1	Pratiquer	2	1	tu;trahis	6;hit								
3	1	Pratiquer	2	2	j'appuie	1;ie								
3	1	Pratiquer	2	3	on;fuit	5;it								
3	1	Pratiquer	2	4	tu;essuies	2;ies								
3	1	Pratiquer	2	5	il;apprécie	1;ie								
3	1	Pratiquer	2	6	tu;relies	2;ies								
3	1	Pratiquer	2	7	ils;modifient	3;ient								
3	1	Pratiquer	2	8	tu;reproduis	4;is								
3	1	Pratiquer	2	9	ils;oublient	3;ient								
3	1	Pratiquer	2	10	je;simplifie	1;ie								
3	1	Pratiquer	2	11	elles;sourient	3;ient								
3	1	Pratiquer	2	12	je;conduis	4;is								
3	1	Pratiquer	2	13	ils;remercient	3;ient								
3	1	Pratiquer	2	14	je;parie	1;ie								
3	1	Pratiquer	2	15	elle;étudie	1;ie								
3	1	Pratiquer	2	16	il;réfléchit	5;it								
3	1	Pratiquer	2	17	tu;relis	4;is								
3	1	Pratiquer	2	18	il;agit	5;it								
3	1	Pratiquer	2	19	j';écris	4;is								
3	1	Pratiquer	2	20	elle;poursuit	5;it								
3	1	Pratiquer	2	21	tu;suis	4;is								
3	1	Découvrir	3	1	je;vois	4;ois	Je;vois;clairement;les;enjeux;.							
3	1	Découvrir	3	2	j';envoie	1;oie	J';envoie;le;courrier;immédiatement;.							
3	1	Découvrir	3	3	on;reçoit	5;oit	On;reçoit;trop;de;spams;intrusifs;!							
3	1	Découvrir	3	4	tu;emploies	2;oies	N';emploies-tu;pas;trop;de;salariés;à;temps;partiel;?							
3	1	Découvrir	3	5	il;revoit	5;oit	Il;revoit;souvent;ses;anciens;copains;de;promo;.							
3	1	Découvrir	3	6	tu;prévois	4;ois	Tu;prévois;de;partir;à;quelle;heure;?							
3	1	Découvrir	3	7	elles;nettoient	3;oient	Les;pulvérisations;d'eau;florale;nettoient;la;peau;.							
3	1	Découvrir	3	8	tu;bois	4;ois	Tu;bois;un;verre;?							
3	1	Découvrir	3	9	ils;aboient	3;oient	Certains;chiens;aboient;pour;exprimer;leur;peur;.							
3	1	Découvrir	3	10	il;foudroie	1;oie	Exaspéré;l'intervenant;nous;foudroie;du;regard;.							
3	1	Découvrir	3	11	ils;entrevoient	3;oient	Ils;entrevoient;enfin;de;nouvelles;solutions;.							
3	1	Découvrir	3	12	je;renvoie	1;oie	Je;renvoie;ce;travail;à;plus;tard;.							
3	1	Découvrir	3	13	ils;déploient	3;oient	Ils;déploient;des;efforts;inlassables;pour;promouvoir;la;paix;.							
3	1	Découvrir	3	14	je;rejoins	6;oins	Je;rejoins;largement;son;avis;.							
3	1	Découvrir	3	15	elle;doit	5;oit	Elle;doit;traiter;le;problème;avec;plus;de;rigueur;.							
3	1	Découvrir	3	16	elle;tutoie	1;oie	Elle;tutoie;facilement;ses;clients;!							
3	1	Découvrir	3	17	tu;disjoins	6;oins	Tu;disjoins;les;planches;pour;insérer;l'isolant;.							
3	1	Découvrir	3	18	ils;croient	3;oient	Ils;croient;leur;information;pertinente;!							
3	1	Découvrir	3	19	je;côtoie	1;oie	Dans;mon;quartier;je;côtoie;des;gens;de;divers;milieux;.							
3	1	Découvrir	3	20	il;joint	7;oint	Il;joint;une;photocopie;à;son;courrier;.							
3	1	Découvrir	3	21	il;tournoie	1;oie	Le;modèle;réduit;tournoie;dans;le;ciel;avant;de;s'écraser;au;sol;.							
3	1	Pratiquer	3	1	je;vois	4;ois								
3	1	Pratiquer	3	2	j'envoie	1;oie								
3	1	Pratiquer	3	3	on;reçoit	5;oit								
3	1	Pratiquer	3	4	tu;emploies	2;oies								
3	1	Pratiquer	3	5	il;revoit	5;oit								
3	1	Pratiquer	3	6	tu;prévois	4;ois								
3	1	Pratiquer	3	7	elles;nettoient	3;oient								
3	1	Pratiquer	3	8	tu;bois	4;ois								
3	1	Pratiquer	3	9	ils;aboient	3;oient								
3	1	Pratiquer	3	10	il;foudroie	1;oie								
3	1	Pratiquer	3	11	ils;entrevoient	3;oient								
3	1	Pratiquer	3	12	je;renvoie	1;oie								
3	1	Pratiquer	3	13	ils;déploient	3;oient								
3	1	Pratiquer	3	14	je;rejoins	6;oins								
3	1	Pratiquer	3	15	elle;doit	5;oit								
3	1	Pratiquer	3	16	elle;tutoie	1;oie								
3	1	Pratiquer	3	17	tu;disjoins	6;oins								
3	1	Pratiquer	3	18	ils;croient	3;oient								
3	1	Pratiquer	3	19	je;côtoie	1;oie								
3	1	Pratiquer	3	20	il;joint	7;oint								
3	1	Pratiquer	3	21	il;tournoie	1;oie								
3	1	Découvrir	4	1	je;hais	11;hais	Je;hais;les;dimanches;!							
3	1	Découvrir	4	2	j';apparais	9;ais	Je;n';apparais;pas;parmi;les;signataires;.							
3	1	Découvrir	4	3	on;extrait	10;ait	On;extrait;des;données;généralement;utiles;de;cette;base;.							
3	1	Découvrir	4	4	vous;agréez	4;ez	Agréez;-;vous;totalement;ce;projet;?							
3	1	Découvrir	4	5	il;crée	1;ée	Ce;changement;de;politique;crée;la;polémique;.							
3	1	Découvrir	4	6	tu;paies	7;aies	Paies-tu;en;espèces;ou;avec;une;carte;?							
3	1	Découvrir	4	7	ils;traient	8;aient	Les;producteurs;laitiers;traient;leurs;vaches;matin;et;soir;.							
3	1	Découvrir	4	8	il;fait	10;ait	Il;fait;activement;de;la;publicité;pour;ses;produits;.							
3	1	Découvrir	4	9	ils;distraient	8;aient	Ces;bruits;de;fond;distraient;notre;attention;.							
3	1	Découvrir	4	10	elles;égaient	8;aient	Ces;nouvelles;activités;artistiques;égaient;l'espace;urbain;.							
3	1	Découvrir	4	11	vous;bégayez	4;ez	Vous;nous;bégayez;de;plates;excuses;!							
3	1	Découvrir	4	12	je;balaie	6;aie	Je;balaie;cette;remarque;de;la;main;.							
3	1	Découvrir	4	13	ils;essaient	8;aient	Ils;essaient;de;trouver;un;nouvel;équilibre;.							
3	1	Découvrir	4	14	tu;reconnais	9;ais	Reconnais-tu;son;talent;?							
3	1	Découvrir	4	15	elle;refait	10;ait	Elle;refait;chaque;année;la;même;randonnée;.							
3	1	Découvrir	4	16	il;effraie	6;aie	L'idée;de;voir;nos;parents;dépendants;nous;effraie;.							
3	1	Découvrir	4	17	tu;connais	9;ais	Tu;les;connais;bien;tes;voisins;?							
3	1	Découvrir	4	18	ils;gréent	3;éent	Ces;jeunes;gréent;leur;planche;à;voile;avec;habileté;.							
3	1	Découvrir	4	19	j'ai	5;ai	J'ai;un;service;à;te;demander;.							
3	1	Découvrir	4	20	tu;maugrées	2;ées	Pourquoi;maugrées-tu;sans;arrêt;?							
3	1	Découvrir	4	21	elle;hait	12;hait	Elle;hait;sa;propension;au;mensonge;.							
3	1	Pratiquer	4	1	je;hais	11;hais								
3	1	Pratiquer	4	2	j'apparais	9;ais								
3	1	Pratiquer	4	3	on;extrait	10;ait								
3	1	Pratiquer	4	4	vous;agréez	4;ez								
3	1	Pratiquer	4	5	il;crée	1;ée								
3	1	Pratiquer	4	6	tu;paies	7;aies								
3	1	Pratiquer	4	7	ils;traient	8;aient								
3	1	Pratiquer	4	8	il;fait	10;ait								
3	1	Pratiquer	4	9	ils;distraient	8;aient								
3	1	Pratiquer	4	10	elles;égaient	8;aient								
3	1	Pratiquer	4	11	vous;bégayez	4;ez								
3	1	Pratiquer	4	12	je;balaie	6;aie								
3	1	Pratiquer	4	13	ils;essaient	8;aient								
3	1	Pratiquer	4	14	tu;reconnais	9;ais								
3	1	Pratiquer	4	15	elle;refait	10;ait								
3	1	Pratiquer	4	16	il;effraie	6;aie								
3	1	Pratiquer	4	17	tu;connais	9;ais								
3	1	Pratiquer	4	18	ils;gréent	3;éent								
3	1	Pratiquer	4	19	j'ai	5;ai								
3	1	Pratiquer	4	20	tu;maugrées	2;ées								
3	1	Pratiquer	4	21	elle;hait	12;hait								
3	1	Découvrir	5	1	elle;a	3;a	Elle;a;raison;d'insister;.							
3	1	Découvrir	5	2	il;commet	6;et	Il;commet;une;infraction;en;pêchant;dans;cette;rivière;.							
3	1	Découvrir	5	3	on;combat	2;at 	On;combat;le;dopage;depuis;les;années;1990;.							
3	1	Découvrir	5	4	tu;es	7;es	Tu;es;le;bienvenu;parmi;nous;!							
3	1	Découvrir	5	5	je;me;débats	1;ats	Je;me;débats;actuellement;avec;l'administration;.							
3	1	Découvrir	5	6	tu;as	4;as 	Si;tu;as;des;questions;,;contacte-nous;!							
3	1	Découvrir	5	7	il;compromet	6;et	Il;compromet;ses;chances;de;réussite;.							
3	1	Découvrir	5	8	tu;bats	1;ats	Tu;bats;tous;les;records,;bravo;!							
3	1	Découvrir	5	9	il;abat	2;at	Il;abat;les;obstacles;les;uns;après;les;autres;.							
3	1	Découvrir	5	10	je;mets	5;ets	Je;mets;sur;pied;ma;propre;entreprise;.							
3	1	Découvrir	5	11	elle;est	8;est	Est-elle;au;courant;?							
3	1	Découvrir	5	12	je;transmets	5;ets	Je;transmets;votre;message;immédiatement;.							
3	1	Découvrir	5	13	elle;émet	6;et	Une;sonde;spatiale;émet;depuis;la;planète;Mars;.							
3	1	Découvrir	5	14	tu;remets	5;ets	Pourquoi;remets-tu;en;question;ses;conclusions;?							
3	1	Découvrir	5	15	elle;bat	2;at	La;vie;nocturne;bat;son;plein;.							
3	1	Découvrir	5	16	il;a	3;a	A-t-il;encore;le;temps;d'y;réfléchir;?							
3	1	Découvrir	5	17	tu;vas	4;as 	Tu;vas;au;cinéma;ce;soir;?							
3	1	Découvrir	5	18	on;promet	6;et	On;promet;souvent;plus;qu'on;ne;peut;tenir;!							
3	1	Découvrir	5	19	elle;admet	6;et	Elle;admet;avoir;menti;.							
3	1	Découvrir	5	20	elle;va	3;a	Elle;va;de;mieux;en;mieux;.							
3	1	Découvrir	5	21	il;est	8;est	Il;est;de;plus;en;plus;souvent;en;retard;!							
3	1	Pratiquer	5	1	elle;a	3;a								
3	1	Pratiquer	5	2	il;commet	6;et								
3	1	Pratiquer	5	3	on;combat	2;at 								
3	1	Pratiquer	5	4	tu;es	7;es								
3	1	Pratiquer	5	5	je;me;débats	1;ats								
3	1	Pratiquer	5	6	tu;as	4;as 								
3	1	Pratiquer	5	7	il;compromet	6;et								
3	1	Pratiquer	5	8	tu;bats	1;ats								
3	1	Pratiquer	5	9	il;abat	2;at								
3	1	Pratiquer	5	10	je;mets	5;ets								
3	1	Pratiquer	5	11	elle;est	8;est								
3	1	Pratiquer	5	12	je;transmets	5;ets								
3	1	Pratiquer	5	13	elle;émet	6;et								
3	1	Pratiquer	5	14	tu;remets	5;ets								
3	1	Pratiquer	5	15	elle;bat	2;at								
3	1	Pratiquer	5	16	il;a	3;a								
3	1	Pratiquer	5	17	tu;vas	4;as 								
3	1	Pratiquer	5	18	on;promet	6;et								
3	1	Pratiquer	5	19	elle;admet	6;et								
3	1	Pratiquer	5	20	elle;va	3;a								
3	1	Pratiquer	5	21	il;est	8;est								
3	1	Découvrir	6	1	tu;revends	5;ends	Tu;les;revends;combien,;tes;meubles;?							
3	1	Découvrir	6	2	je;tends	5;ends	Je;lui;tends;la;main;.							
3	1	Découvrir	6	3	tu;confonds	1;onds	Tu;confonds;la;fin;et;les;moyens;.							
3	1	Découvrir	6	4	je;tonds	1;onds	Je;tonds;la;pelouse;avant;la;pluie;.							
3	1	Découvrir	6	5	il;apprend	6;end	Il;apprend;à;gérer;son;agressivité							
3	1	Découvrir	6	6	tu;répands	7;ands	Est-ce;que;tu;ne;répands;pas;cette;idée;un;peu;trop;vite;?							
3	1	Découvrir	6	7	elles;défont	4;ont	Les;alliances;politiques;se;défont;régulièrement;.							
3	1	Découvrir	6	8	tu;descends	5;ends	Tu;descends;bientôt;dans;le;sud;?							
3	1	Découvrir	6	9	il;épand	8;and	Il;épand;du;gravier;dans;l'allée;.							
3	1	Découvrir	6	10	tu;réponds	1;onds	Tu;ne;réponds;plus;au;téléphone;?							
3	1	Découvrir	6	11	elles;vont	4;ont	Ces;pratiques;vont;à;l'encontre;de;nos;intérêts;.							
3	1	Découvrir	6	12	il;comprend	6;end	Il;ne;comprend;pas;ce;raisonnement;.							
3	1	Découvrir	6	13	elle;prétend	6;end	Elle;prétend;détenir;la;vérité;!							
3	1	Découvrir	6	14	ils;font	4;ont	Ils;font;des;études;supérieures;.							
3	1	Découvrir	6	15	elles;sont	4;ont	Elles;sont;malades;depuis;hier;.							
3	1	Découvrir	6	16	elle;fond	2;ond	La;calotte;glacière;du;Groenland;fond;à;une;vitesse;inquiétante;.							
3	1	Découvrir	6	17	il;correspond	2;ond	Ton;fils;correspond-il;toujours;avec;ce;jeune;australien;?							
3	1	Découvrir	6	18	ils;ont	4;ont	Ils;ont;le;droit;d'obtenir;des;informations;.							
3	1	Découvrir	6	19	elle;fend	6;end	Sa;maladie;me;fend;le;cœur;.							
3	1	Découvrir	6	20	on;entend	6;end	On;entend;peu;la;voix;des;femmes;dans;ce;ministère;.							
3	1	Découvrir	6	21	nous;faisons	3;ons	Nous;faisons;des;recommandations;ci-dessous;.							
3	1	Pratiquer	6	1	tu;revends	5;ends								
3	1	Pratiquer	6	2	je;tends	5;ends								
3	1	Pratiquer	6	3	tu;confonds	1;onds								
3	1	Pratiquer	6	4	je;tonds	1;onds								
3	1	Pratiquer	6	5	il;apprend	6;end								
3	1	Pratiquer	6	6	tu;répands	7;ands								
3	1	Pratiquer	6	7	elles;défont	4;ont								
3	1	Pratiquer	6	8	tu;descends	5;ends								
3	1	Pratiquer	6	9	il;épand	8;and								
3	1	Pratiquer	6	10	tu;réponds	1;onds								
3	1	Pratiquer	6	11	elles;vont	4;ont								
3	1	Pratiquer	6	12	il;comprend	6;end								
3	1	Pratiquer	6	13	elle;prétend	6;end								
3	1	Pratiquer	6	14	ils;font	4;ont								
3	1	Pratiquer	6	15	elles;sont	4;ont								
3	1	Pratiquer	6	16	elle;fond	2;ond								
3	1	Pratiquer	6	17	il;correspond	2;ond								
3	1	Pratiquer	6	18	ils;ont	4;ont								
3	1	Pratiquer	6	19	elle;fend	6;end								
3	1	Pratiquer	6	20	on;entend	6;end								
3	1	Pratiquer	6	21	nous;faisons	3;ons								
3	1	Découvrir	7	1	il;ressent	10;ent	Il;ressent;des;douleurs;à;la;tête;.							
3	1	Découvrir	7	2	tu;consens	9;ens	Consens-tu;à;m'accompagner;?							
3	1	Découvrir	7	3	elle;ment	10;ent	Elle;ment;de;façon;éhontée;dans;sa;façon;de;présenter;le;problème;.							
3	1	Découvrir	7	4	je;sens	9;ens	Je;sens;un;nouvel;intérêt;pour;ce;sujet;.							
3	1	Découvrir	7	5	je;viens	5;ens	Je;viens;de;mentionner;votre;retard;.							
3	1	Découvrir	7	6	elle;convient	6;ent	Ta;proposition;me;convient;parfaitement;.							
3	1	Découvrir	7	7	tu;peins	1;eins	Tu;peins;un;tableau;très;noir;de;la;situation;!							
3	1	Découvrir	7	8	elle;craint	4;aint	Elle;craint;pour;sa;sécurité;avec;un;tel;engin;!							
3	1	Découvrir	7	9	il;déteint	2;eint	Son;enthousiasme;déteint;sur;nous;!							
3	1	Découvrir	7	10	je;plains	3;ains	Je;me;plains;de;la;mauvaise;qualité;des;photos;.							
3	1	Découvrir	7	11	je;démens	9;ens	Je;démens;toute;formulation;de;ce;type;.							
3	1	Découvrir	7	12	on;revient	6;ent	On;revient;aujourd'hui;sur;le;choix;de;ce;logiciel;.							
3	1	Découvrir	7	13	tu;préviens	5;ens	Tu;ne;préviens;pas;les;collègues;de;ton;absence;?							
3	1	Découvrir	7	14	elle;restreint	2;eint	Elle;restreint;son;analyse;au;strict;minimum;.							
3	1	Découvrir	7	15	il;joint	8;oint	Il;joint;ses;efforts;à;ceux;de;son;équipe;.							
3	1	Découvrir	7	16	on;éteint	2;eint	On;éteint;le;chauffage;ce;soir;.							
3	1	Découvrir	7	17	il;subvient	6;ent	Le;revenu;de;son;conjoint;subvient;à;ses;besoins;.							
3	1	Découvrir	7	18	il;détient"	6;ent	Il;détient;un;portefeuille;de;titres;impressionnant;!							
3	1	Découvrir	7	19	tu;rejoins	7;oins	Tu;rejoins;le;groupe;bientôt;?							
3	1	Découvrir	7	20	il;contraint	4;aint	La;loi;contraint;les;organismes;à;plus;de;rigueur;.							
3	1	Découvrir	7	21	je;retiens	5;ens	Je;retiens;votre;proposition;.							
3	1	Pratiquer	7	1	il;ressent	10;ent								
3	1	Pratiquer	7	2	tu;consens	9;ens								
3	1	Pratiquer	7	3	elle;ment	10;ent								
3	1	Pratiquer	7	4	je;sens	9;ens								
3	1	Pratiquer	7	5	je;viens	5;ens								
3	1	Pratiquer	7	6	elle;convient	6;ent								
3	1	Pratiquer	7	7	tu;peins	1;eins								
3	1	Pratiquer	7	8	elle;craint	4;aint								
3	1	Pratiquer	7	9	il;déteint	2;eint								
3	1	Pratiquer	7	10	je;plains	3;ains								
3	1	Pratiquer	7	11	je;démens	9;ens								
3	1	Pratiquer	7	12	on;revient	6;ent								
3	1	Pratiquer	7	13	tu;préviens	5;ens								
3	1	Pratiquer	7	14	elle;restreint	2;eint								
3	1	Pratiquer	7	15	il;joint	8;oint								
3	1	Pratiquer	7	16	on;éteint	2;eint								
3	1	Pratiquer	7	17	il;subvient	6;ent								
3	1	Pratiquer	7	18	il;détient"	6;ent								
3	1	Pratiquer	7	19	tu;rejoins	7;oins								
3	1	Pratiquer	7	20	il;contraint	4;aint								
3	1	Pratiquer	7	21	je;retiens	5;ens								
3	1	Découvrir	8	1	je;sors	7;rs	Je;sors;de;la;réunion;éreintée;.							
3	1	Découvrir	8	2	tu;pares	2;res	Tu;pares;au;plus;pressé;.							
3	1	Découvrir	8	3	ils;parent	3;rent	Les;entreprises;parent;les;coups;d'une;concurrence;acharnée;.							
3	1	Découvrir	8	4	je;sers	7;rs	Je;sers;de;facilitateur;au;sein;du;groupe;de;travail;.							
3	1	Découvrir	8	5	tu;pars	7;rs	Quand;pars-/tu;en;vacances;?							
3	1	Découvrir	8	6	je;serre	4;rre	Je;serre;les;prix;pour;augmenter;les;marges;.							
3	1	Découvrir	8	7	tu;répares	2;res	En;cas;de;panne;,;tu;répares;ou;tu;remplaces;la;pièce?							
3	1	Découvrir	8	8	il;dessert	8;rt	Cette;rame;ne;dessert;qu'un;nombre;limité;de;communes;.							
3	1	Découvrir	8	9	je;perds	9;rds	Je;perds;souvent;le;fil;de;la;conversation;.							
3	1	Découvrir	8	10	on;tire	1;re	On;tire;la;sonnette;d'alarme;.							
3	1	Découvrir	8	11	il;court	8;rt	Il;court;trop;de;lièvres;à;la;fois;.							
3	1	Découvrir	8	12	il;tord	10;rd	Cet;économiste;tord;le;cou;aux;dogmes;libéraux;.							
