Module	Sous_Module	Type	Exercice	Série	Données	Catégories	Fichier Audio
2	2	Classique	1	1	Eva;et;Marie;viendront;chanter;.	1;10;1;7;7;0	s01d01.mp3
2	2	Classique	1	2	Elles;prendront;le;bus;ou;le;train;.	6;7;2;1;10;2;1;0	s01d02.mp3
2	2	Classique	1	3	Julien;et;Sam;ont;les;dents;longues;.	1;10;1;7;2;1;3;0	s01d03.mp3
2	2	Classique	1	4	Ils;étudient;l';anglais;et;le;chinois;.	6;7;2;1;10;2;1;0	s01d04.mp3
2	2	Classique	1	5	Les;deux;mafieux;apprennent;le;russe;.	2;2;1;7;2;1;0	s01d05.mp3
2	2	Classique	1	6	Alain;,;veux-tu;du;fromage;ou;un;dessert;?	1;0;7;6;2;1;10;2;1;0	s01d06.mp3
2	2	Classique	1	7	Alain;et;Paul;,;aimez-vous;les;mangas;?	1;10;1;0;7;6;2;1;0	s01d07.mp3
2	2	Classique	1	8	Nous;acceptons;les;dollars;ou;les;euros;.	6;7;2;1;10;2;1;0	s01d08.mp3
2	2	Classique	2	1	Les;artistes;amusent;les;badauds;et;les;commerçants;.	2;1;7;2;1;10;2;1;0	s02d01.mp3
2	2	Classique	2	2	Les;comédiennes;portent;des;talons;hauts;.	2;1;7;2;1;3;0	s02d02.mp3
2	2	Classique	2	3	Elles;miment;une;scène;cocasse;.	6;7;2;1;3;0	s02d03.mp3
2	2	Classique	2	4	Loïc;et;Diane;sont;contents;et;ils;rient;.	1;10;1;7;3;10;6;7;0	s02d04.mp3
2	2	Classique	2	5	Sandra;et;Hélène;observent;les;acteurs;.	1;10;1;7;2;1;0	s02d05.mp3
2	2	Classique	2	6	Elles;photographient;les;décors;et;la;scène;.	6;7;2;1;10;2;1;0	s02d06.mp3
2	2	Classique	2	7	Aimez-vous;le;théâtre;et;le;cinéma;?	7;6;2;1;10;2;1;0	s02d07.mp3
2	2	Classique	2	8	Ils;ont;un;talent;immense;et;ils;suscitent;l';admiration;.	6;7;2;1;3;10;6;7;2;1;0	s02d08.mp3
2	2	Classique	3	1	Luc;est;un;vieux;rockeur;.	1;7;2;3;1;0	s03d01.mp3
2	2	Classique	3	2	Il;dort;toute;la;journée;.	6;7;2;2;1;0	s03d02.mp3
2	2	Classique	3	3	Sandra;prépare;l';apéritif;et;des;canapés;.	1;7;2;1;10;2;1;0	s03d03.mp3
2	2	Classique	3	4	Elle;cuisine;des;œufs;mimosas;.	6;7;2;1;3;0	s03d04.mp3
2	2	Classique	3	5	Léa;,;veux-tu;une;bière;?	1;0;7;6;2;1;0	s03d05.mp3
2	2	Classique	3	6	Sarah;et;Margaux;,;prendrez-vous;un;verre;?	1;10;1;0;7;6;2;1;0	s03d06.mp3
2	2	Classique	3	7	Nous;prendrons;du;vin;ou;une;bière;.	6;7;2;1;10;2;1;0	s03d07.mp3
2	2	Classique	3	8	Ils;ont;dansé;toute;la;soirée;.	6;7;7;2;2;1;0	s03d08.mp3
2	2	Classique	4	1	Le;soleil;brille;il;réchauffe;l';air;.	2;1;7;6;7;2;1;0	s04d01.mp3
2	2	Classique	4	2	La;lune;luit;elle;éclaire;les;environs;.	2;1;7;6;7;2;1;0	s04d02.mp3
2	2	Classique	4	3	Les;nuages;peuvent;masquer;le;soleil;ou;la;lune.	2;1;7;7;2;1;10;2;1;0	s04d03.mp3
2	2	Classique	4	4	Arthur;viendra;et;il;racontera;ses;vacances;.	1;7;10;6;7;2;1;0	s04d04.mp3
2	2	Classique	4	5	Mehdi;et;ses;parents;ont;visité;l';Italie;et;la;Grèce;.	1;10;2;1;7;7;2;1;10;2;1;0	s04d05.mp3
2	2	Classique	4	6	Ils;avaient;loué;une;voiture;.	6;7;7;2;1;0	s04d06.mp3
2	2	Classique	4	7	Nos;voisines;aiment;naviguer;.	2;1;7;7;0	s04d07.mp3
2	2	Classique	4	8	Elles;ont;un;voilier;et;une;barque;.	6;7;2;1;10;2;1;0	s04d08.mp3
2	3	Classique	0	1	Le;ver;est;dans;le;fruit;.	2;1;7;4;2;1;0	demod01.mp3
2	3	Classique	0	2	Sa;mère;parle;de;la;fête;.	2;1;7;4;2;1;0	demod02.mp3
2	3	Classique	0	3	Son;associé;parle;du;dernier;contrat;.	2;1;7;5;3;1;0	demod03.mp3
2	3	Classique	0	4	Jean;est;parti;à;la;banque;.	1;7;7;4;2;1;0	demod04.mp3
2	3	Classique	0	5	Marius;va;aller;au;cinéma;.	1;7;7;5;1;0	demod05.mp3
2	3	Classique	0	6	Sa;copine;habite;à;côté;de;la;gare;.	2;1;7;4;4;4;2;1;0	demod06.mp3
2	3	Classique	1	1	Mon;associé;travaille;sur;ce;chantier;.	2;1;7;4;2;1;0	s01d01.mp3
2	3	Classique	1	2	La;soirée;commence;dans;quinze;minutes;.	2;1;7;4;2;1;0	s01d02.mp3
2	3	Classique	1	3	Ma;sœur;revient;de;la;Guadeloupe;.	2;1;7;4;2;1;0	s01d03.mp3
2	3	Classique	1	4	Ma;copine;revient;du;Canada;.	2;1;7;5;1;0	s01d04.mp3
2	3	Classique	1	5	Mes;copains;pensent;à;la;fête;.	2;1;7;4;2;1;0	s01d05.mp3
2	3	Classique	1	6	Ils;pensent;aux;vacances;.	6;7;5;1;0	s01d06.mp3
2	3	Classique	1	7	Mes;amis;partent;à;la;montagne;.	2;1;7;4;2;1;0	s01d07.mp3
2	3	Classique	1	8	Mes;voisins;partent;au;marché;.	2;1;7;5;1;0	s01d08.mp3
2	3	Classique	2	1	Le;voilier;navigue;vers;la;côte;.	2;1;7;4;2;1;0	s02d01.mp3
2	3	Classique	2	2	Les;vacanciers;bronzés;rentrent;de;la;mer;.	2;1;3;7;4;2;1;0	s02d02.mp3
2	3	Classique	2	3	Certains;vacanciers;reviennent;de;l';océan;.	2;1;7;4;2;1;0	s02d03.mp3
2	3	Classique	2	4	Mes;deux;amis;rentrent;du;cinéma;.	2;2;1;7;5;1;0	s02d04.mp3
2	3	Classique	2	5	Mes;voisins;rentrent;de;la;Jamaïque;.	2;1;7;4;2;1;0	s02d05.mp3
2	3	Classique	2	6	Leurs;amis;rentrent;d';Espagne;.	2;1;7;4;1;0	s02d06.mp3
2	3	Classique	2	7	Plusieurs;médecins;partent;pour;l';Afrique;.	2;1;7;4;2;1;0	s02d07.mp3
2	3	Classique	2	8	Ils;embarqueront;près;de;Marseille;.	6;7;4;4;1;0	s02d08.mp3
2	3	Classique	3	1	Annie;rentre;du;Chili;.	1;7;5;1;0	s03d01.mp3
2	3	Classique	3	2	Elle;repart;au;Mexique;.	6;7;5;1;0	s03d02.mp3
2	3	Classique	3	3	Elle;travaille;pour;le;ministère;des;transports;.	6;7;4;2;1;5;1;0	s03d03.mp3
2	3	Classique	3	4	Sophie;est;à;la;gare;depuis;ce;matin;.	1;7;4;2;1;4;2;1;0	s03d04.mp3
2	3	Classique	3	5	Elle;a;téléphoné;de;la;gare;à;son;mari;.	6;7;7;4;2;1;4;2;1;0	s03d05.mp3
2	3	Classique	3	6	Le;musée;d';art;et;d';histoire;présente;une;nouvelle;exposition;.	2;1;4;1;10;4;1;7;2;3;1;0	s03d06.mp3
2	3	Classique	3	7	Des;maisons;sur;pilotis;composent;le;village;lacustre;.	2;1;4;1;7;2;1;3;0	s03d07.mp3
2	3	Classique	3	8	Le;village;préhistorique;fut;construit;près;d';un;lac;.	2;1;3;7;7;4;4;2;1;0	s03d08.mp3
2	3	Classique	4	1	Une;hôtesse;suspicieuse;monte;dans;l';avion;.	2;1;3;7;4;2;1;0	s04d01.mp3
2	3	Classique	4	2	Au;petit;matin;;elle;propose;un;thé;ou;un;petit;café;.	5;3;1;6;7;2;1;10;2;3;1;0	s04d02.mp3
2	3	Classique	4	3	Elle;guette;les;passagers;derrière;ses;lunettes;rondes;.	6;7;2;1;4;2;1;3;0	s04d03.mp3
2	3	Classique	4	4	Ses;deux;collègues;sont;à;côté;d';elle;.	2;2;1;7;4;4;4;6;0	s04d04.mp3
2	3	Classique	4	5	Un;passager;à;la;mine;patibulaire;passe;près;de;l';équipage;.	2;1;4;2;1;3;7;4;4;2;1;0	s04d05.mp3
2	3	Classique	4	6	Un;steward;effrayé;blêmit;à;quelques;mètres;du;groupe;.	2;1;3;7;4;2;1;5;1;0	s04d06.mp3
2	3	Classique	4	7	Devant;la;scène;;des;regards;interrogatifs;circulent;de;siège;en;siège;.	4;2;1;2;1;3;7;4;1;4;1;0	s04d07.mp3
2	3	Classique	4	8	Le;pilote;indifférent;atterrit;sur;le;tarmac;de;l';aéroport;.	2;1;3;7;4;2;1;4;2;1;0	s04d08.mp3
2	4	Classique	0	1	Ce;cambrioleur;s';organise;toujours;avec;professionnalisme;.	2;1;6;7;8;4;1;0	demod01.mp3
2	4	Classique	0	2	Il;choisit;sa;cible;dans;les;beaux;quartiers;et;lui;consacre;tout;son;temps;.	6;7;2;1;4;2;3;1;10;6;7;2;2;1;0	demod02.mp3
2	4	Classique	0	3	Il;surveille;attentivement;ses;proies;et;les;traque;pendant;des;jours;.	6;7;8;2;1;10;6;7;4;2;1;0	demod03.mp3
2	4	Classique	0	4	Il;ne;les;détrousse;pas;immédiatement;,;mais;se;contente;d';un;simple;repérage;.	6;8;6;7;8;8;0;10;6;7;4;2;3;1;0	demod04.mp3
2	4	Classique	1	1	Le;cambrioleur;a;un;carnet;et;il;le;conserve;dans;un;endroit;secret;.	2;1;7;2;1;10;6;6;7;4;2;1;3;0	s01d01.mp3
2	4	Classique	1	2	Sur;ce;carnet;sont;quotidiennement;consignées;toutes;les;informations;importantes;.	4;2;1;7;8;7;2;2;1;3;0	s01d02.mp3
2	4	Classique	1	3	Il;les;consulte;systématiquement;avant;de;passer;à;l'action;.	6;6;7;8;4;4;7;4;2;1;0	s01d03.mp3
2	4	Classique	1	4	Avant;chaque;méfait;,;il;observe;méticuleusement;les;lieux;.	4;2;1;0;6;7;8;2;1;0	s01d04.mp3
2	4	Classique	1	5	Il;les;mémorise;intérieurement;avant;de;se;lancer;dans;sa;chasse;au;trésor;.	6;6;7;8;4;4;6;7;4;2;1;5;1;0	s01d05.mp3
2	4	Classique	1	6	Il;déplace;les;meubles;puis;les;remet;soigneusement;en;place;.	6;7;2;1;10;6;7;8;4;1;0	s01d06.mp3
2	4	Classique	1	7	Son;but;est;de;ne;pas;importuner;le;propriétaire;des;lieux;.	2;1;7;4;8;8;7;2;1;5;1;0	s01d07.mp3
2	4	Classique	1	8	Notre;gentleman;cambrioleur;,;soucieux;de;ses;victimes;,;les;bichonne;amoureusement;.	2;1;1;0;3;4;2;1;0;6;7;8;0	s01d08.mp3
2	4	Classique	2	1	Tous;les;cols;du;Tour;,;Pierre;les;connaît;bien;.	2;2;1;5;1;0;1;6;7;8;0	s02d01.mp3
2	4	Classique	2	2	Il;les;a;parcourus;dans;tous;les;sens;et;se;les;rappelle;très;bien;.	6;6;7;7;4;2;2;1;10;6;6;7;8;8;0	s02d02.mp3
2	4	Classique	2	3	Il;raconte;à;ses;amis;ses;exploits;mais;omet;de;leur;parler;de;ses;abandons;fréquents;.	6;7;4;2;1;2;1;10;7;4;6;7;4;2;1;3;0	s02d03.mp3
2	4	Classique	2	4	Ses;copains;l';aiment;bien;et;ne;lui;en;veulent;pas;.	2;1;6;7;8;10;8;6;6;7;8;0	s02d04.mp3
2	4	Classique	2	5	Ils;l';encouragent;inlassablement;et;lui;font;la;fête;à;chaque;fin;de;Tour;.	6;6;7;8;10;6;7;2;1;4;2;1;4;1;0	s02d05.mp3
2	4	Classique	2	6	Pierre;n';est;pas;dupe;et;leur;est;reconnaissant;de;ce;soutien;sans;faille;.	1;8;7;8;3;10;6;7;3;4;2;1;4;1;0	s02d06.mp3
2	4	Classique	2	7	Mais;son;médecin;lui;a;ordonné;d';arrêter;à;cause;de;son;arthrose;galopante;.	10;2;1;6;7;7;4;7;4;4;4;2;1;3;0	s02d07.mp3
2	4	Classique	2	8	Pierre;ne;roulera;plus;et;il;en;est;bien;malheureux;.	1;8;7;8;10;6;6;7;8;3;0	s02d08.mp3
2	4	Classique	2	1	Notre;directrice;de;labo;nous;a;parlé;hier;d';un;projet;passionnant;.	2;1;4;1;6;7;7;8;4;2;1;3;0	s03d01.mp3
2	4	Classique	3	2	Elle;veut;y;accorder;désormais;toute;son;attention;.	6;7;6;7;8;2;2;1;0	s03d02.mp3
2	4	Classique	3	3	Elle;voudrait;bien;élaborer;une;application;pour;les;infirmiers;de;l';hôpital;.	6;7;8;7;2;1;4;2;1;4;2;1;0	s03d03.mp3
2	4	Classique	3	4	Cette;application;multilingue;les;aiderait;à;s';adresser;aux;patients;non;francophones;.	2;1;3;6;7;4;6;7;6;5;1;8;3;0	s03d04.mp3
2	4	Classique	3	5	L';idée;est;bonne;;mais;on;lui;a;conseillé;de;vérifier;son;originalité;.	2;1;7;3;10;6;6;7;7;4;7;2;1;0	s03d05.mp3
2	4	Classique	3	6	Elle;l';a;fait;;et;elle;était;toute;dépitée;:;l';appli;existe;déjà;!	6;6;7;7;10;6;7;8;3;2;1;7;8;0	s03d06.mp3
2	4	Classique	3	7	Mais;elle;a;déjà;une;autre;idée;et;on;s';en;réjouit;!	10;6;7;8;2;3;1;10;6;6;6;7;0	s03d07.mp3
2	4	Classique	3	8	Elle;nous;la;présentera;bientôt;et;nous;lui;transmettrons;nos;commentaires;.	6;6;6;7;8;10;6;6;7;2;1;0	s03d08.mp3
2	4	Classique	4	1	Au;Japon;,;nous;avons;assisté;à;la;cérémonie;du;thé;et;en;gardons;un;souvenir;marquant;.	5;1;0;6;7;7;4;2;1;5;1;10;6;7;2;1;3;0	s04d01.mp3
2	4	Classique	4	2	L'hôte;nous;a;reçus;dans;son;jardin;et;nous;a;installés;autour;d';une;jolie;table;.	2;1;6;7;7;4;2;1;10;6;7;7;4;4;2;3;1;0	s04d02.mp3
2	4	Classique	4	3	Il;a;longuement;nettoyé;les;ustensiles;et;les;a;placés;avec;précision;sur;la;table;.	6;7;8;7;2;1;10;6;7;7;4;1;4;2;1;0	s04d03.mp3
2	4	Classique	4	4	Il;a;servi;un;thé;très;épais;au;premier;invité;et;lui;a;demandé;d'en;boire;une;petite;gorgée;.	6;7;7;2;1;8;3;5;3;1;10;6;7;7;4;6;7;2;3;1;0	s04d04.mp3
2	4	Classique	4	5	L';invité;l';a;fait;,;a;essuyé;le;bord;du;bol;et;l';a;tendu;respectueusement;à;son;voisin;.	2;1;6;7;7;7;7;2;1;5;1;10;6;7;7;8;4;2;1;0	s04d05.mp3
2	4	Classique	4	6	Mon;portable;a;alors;bruyamment;sonné;et;notre;hôte;impassible;a;feint;de;ne;pas;l';entendre;.	2;1;7;8;8;7;10;2;1;3;7;7;4;8;8;6;7;0	s04d06.mp3
2	4	Classique	4	7	Un;rire;nerveux;a;commencé;à;me;gagner;mais;j';ai;réussi;finalement;à;le;réprimer;.	2;1;3;7;7;4;6;7;10;6;7;7;8;4;6;7;0	s04d07.mp3
2	4	Classique	4	8	Au;moment;de;saluer;notre;hôte;,;j';ai;rougi;face;à;lui;mais;il;m';a;glissé;un;regard;compatissant;.	5;1;4;7;2;1;0;6;7;7;4;4;6;10;6;6;7;7;2;1;3;0	s04d08.mp3
2	5	Classique	0	1	La;communication;non;verbale;désigne;dans;une;conversation;tout;signe;venant;compléter;le;message;parlé;ou;le;remplacer;.	2;1;8;3;7;4;2;1;2;1;7;7;2;1;3;10;6;7;0	
2	5	Classique	1	1	La;communication;non;verbale;repose;surtout;sur;des;gestes;variés;,;des;attitudes;corporelles;et;des;expressions;du;visage;.;Mais;elle;s';exprime;aussi;[à,travers];les;silences;,;la;distance;entre;les;interlocuteurs;et;d';autres;éléments;significatifs;du;contexte;.	2;1;8;3;7;8;4;2;1;3;0;2;1;3;10;2;1;5;1;0;10;6;6;7;8;4;2;1;0;2;1;4;2;1;10;2;3;1;3;5;1;0	
2	5	Classique	2	1	Dans;de;nombreux;cas;un;individu;peut;envoyer;de;manière;souvent;inconsciente;un;message;non;verbal;contradictoire;[par,rapport];au;contenu;de;son;message;verbal;.	4;2;3;1;2;1;7;7;4;1;8;3;2;1;8;3;3;4;5;1;4;2;1;3;0	
2	5	Classique	3	1	Imaginons;:;collègues;dans;la;même;entreprise;Pierre;discute;avec;Paul;et;lui;propose;de;prendre;un;verre;ensemble;un;soir.;Paul;lui;exprime;verbalement;son;accord;mais;son;sourire;de;pure;politesse;et;son;regard;fuyant;indiquent;exactement;l';inverse;.	7;0;1;4;2;3;1;1;7;4;1;10;6;7;4;7;2;1;8;2;1;1;6;7;8;2;1;10;2;1;4;3;1;10;2;1;3;7;8;2;1;0	
2	5	Classique	4	1	Autre;exemple;:;inaccessible;par;son;silence;hostile;une;personne;au;visage;fermé;exprime;clairement;par;sa;posture;son;refus;de;communiquer;avec;autrui;.;A;ce;propos;le;psychologue;Grégoire;Bateson;affirmait;:;«;Tout;comportement;est;communication;.;	3;1;0;3;4;2;1;3;2;1;5;1;3;7;8;4;2;1;2;1;4;7;4;0;6;4;2;1;2;1;1;1;7;0;0;2;1;7;1;0	
2	6	Classique	1	1	Le;système;solaire;[est,formé];essentiellement;d';une;étoile;brillante;,;le;soleil;,;et;de;huit;planètes;tournant;indéfiniment;[autour,de];lui;.;Il;les;éclaire;et;leur;dispense;sa;chaleur;.	2;1;3;7;8;4;2;1;3;0;2;1;10;4;2;1;7;8;4;6;0;6;6;7;10;6;7;2;1;0	
2	6	Classique	2	1	La;lune;est;l';unique;satellite;de;la;terre;.;On;la;voit;bien;par;nuit;claire;car;le;soleil;l';éclaire;.;La;lune;tourne;[autour,de];la;terre;et;la;terre;tourne;autour;du;soleil;.;Le;soleil;se;déplace;également;dans;l';espace;.	2;1;7;2;3;1;4;2;1;0;6;6;7;8;4;1;3;10;2;1;6;7;0;2;1;7;4;2;1;10;2;1;7;4;5;1;0;2;1;6;7;8;4;2;1.0	
2	6	Classique	3	1	Le;système;solaire;appartient;à;notre;galaxie;,;la;voie;lactée;.;Des;millions;d';étoiles;inégalement;brillantes;la;constituent;.;Cet;amas;d';étoiles;ressemble;extérieurement;à;un;immense;disque;renflé;en;son;centre;.	2;1;3;7;4;2;1;0;2;1;3;0;2;1;4;1;8;3;6;7;0;2;1;4;1;7;8;4;2;3;1;3;4;2;1;0	
2	6	Classique	4	1	Constellation;spécifique;,;la;[Petite,Ourse];[est,formée];de;sept;étoiles;principales;.;Parmi;elles;,;l';[Etoile,Polaire];[est,connue];pour;sa;brillance;remarquable;.;[A,cause,de];son;alignement;avec;l';axe;de;rotation;de;la;terre;,;elle;nous;semble;immobile;.	1;3;0;2;1;7;4;2;1;3;0;4;6;0;2;1;7;4;2;1;3;0;4;2;1;4;2;1;4;1;4;2;1;6;6;7;3;0	
2	7	Classique	1	1	Le;terme;nomophobie;[a,été,créé];récemment;[à,partir,de];l';expression;anglaise;No-Mobile-Phone-Phobia;.;La;nomophobie;désigne;la;peur;excessive;d';[être,séparé];de;son;téléphone;mobile;et;concerne;particulièrement;les;jeunes;,;mais;pas;seulement;.	2;1;1;7;8;4;2;1;3;1;0;2;1;7;2;1;3;4;7;4;2;1;3;10;7;8;2;1;0;10;8;8;0	
2	7	Classique	2	1	Une;étude;[a,été,faite];au;sujet;de;la;nomophobie;.;Les;jeunes;utilisateurs;de;portables;au;[Royaume,Uni];seraient;majoritairement;anxieux;à;l';idée;d';égarer;leur;téléphone;et;le;simple;fait;de;l';[avoir,oublié];[fait,monter];leur;stress;significativement;.	2;1;7;5;1;4;2;1;0;2;3;1;4;1;5;1;7;8;3;4;2;1;4;7;2;1;10;2;3;1;4;6;7;7;2;1;8;0	
2	7	Classique	3	1	Une;autre;étude;récente;présente;les;chiffres;suivants;:;les;utilisateurs;français;consulteraient;leur;smartphone;[cent,cinquante];fois;par;jour;.;Ainsi;,;en;moyenne;,;nous;nous;emparons;de;notre;appareil;toutes;les;six;à;sept;minutes;[au,cours,d'];une;journée;.	2;3;1;3;7;2;1;3;0;2;1;3;7;2;1;2;1;4;1;0;8;4;0;1;6;6;7;4;2;1;2;2;2;4;2;1;4;2;1;0	
2	7	Classique	4	1	Selon;les;chercheurs;,;le;téléphone;portable;deviendrait;une;extension;de;soi;.;Ainsi;,;une;personne;malade;de;nomophobie;[semble,avoir,perdu];une;part;de;son;identité;.;Cette;perte;[pourrait,avoir];un;impact;négatif;sur;ses;performances;mentales;.	4;2;1;0;2;1;3;7;2;1;4;6;0.8;0;2;1;3;4;1;7;2;1;4;2;1;0;2;1;7;2;1;3;4;2;1;3;0	
