Module	Sous_Module	Type	Exercice	Série	Données	Placement réponse	Phrase à associer	Association	Nouveau mot	Réponse	Catégorie	Verbe	Désinence	Fichier Audio
5	2	Pratiquer	1	5	Il;est;bien;que;vous;/sachiez/;conduire;.						[6,5,1];[7,12,5]	savoir		
5	2	Pratiquer	1	6	Il;faut;que;nous;/soyons/;prêts;à;huit;heures;.						[6,4,1];[7,13,4]	être		
5	2	Pratiquer	1	7	Je;sais;que;Kevin;/finit/;son;contrat;demain;.						[6,3,1];[7,2,3]	finir		
5	2	Pratiquer	1	8	Il;parait;que;Laura;/écrit/;un;roman;.						[6,3,2][7,2,3]	écrire		
5	2	Pratiquer	1	9	Je;sens;que;je;/deviens/;de;plus;en;plus;sûr;de;moi;.						[6,1,1];[7,2,1]	devenir		
5	2	Pratiquer	1	10	Il;dit;que;nous;/mettons/;trop;de;temps;.						[6,4,1];[7,3,4]	mettre		
5	2	Pratiquer	1	11	Nous;croyons;qu’elles;/savent/;.						[6,6,2];[7,2,6]	savoir		
5	2	Pratiquer	1	12	Je;pense;que;nous;/sommes/;trop;prudents;.						[6,4,1];[7,6,4]	être		
5	3	Pratiquer	1	1	Lorsque;vous;serez;dans;la;salle,;/regardez/;attentivement;le;tableau;.						[7,12,5]	regarder		
5	3	Pratiquer	1	2	Quelles;sont;vos;habitudes;?;/Regardez/-vous;la;télévision;après;20h;?						[7,1,5]	regarder		
5	3	Pratiquer	1	3	/Faites/;une;réclamation;et;envoyez-la;au;service;après;vente;.						[7,20,5]	faire		
5	3	Pratiquer	1	4	Merci;pour;votre;beau;cadeau;.;Vous;me;/faites/;vraiment;plaisir;.						[7,9,5]	faire		
5	3	Pratiquer	1	5	Mais;pourquoi;tu;/ris/;à;chaque;fois;que;j';évoque;cette;histoire;?						[7,2,2]	rire		
5	3	Pratiquer	1	6	Mon;grand-père;me;répétait;toujours;:;«;Ne;/ris/;pas;des;autres;.;»						[7,13,2]	rire		
5	3	Pratiquer	1	7	/Apporte/-moi;ce;dossier;dès;que;tu;peux;.						[7,12,2]	apporter		
5	3	Pratiquer	1	8	Tu;m';/apportes/;une;aide;précieuse;dans;ce;chantier;.						[7,1,2]	apporter		
5	3	Pratiquer	1	9	/Accorde/-leur;une;dernière;chance;et;détends-toi;.						[7,12,2]	accorder		
5	3	Pratiquer	1	10	Quelle;importance;/accordes/-tu;à;ce;projet;?						[7,1,2]	accorder		
5	3	Pratiquer	1	11	Qu';/attends/-tu;de;cette;réunion;?						[7,4,2]	attendre		
5	3	Pratiquer	1	12	Installe-toi;confortablement;et;/attends/-moi;,;j';arrive;tout;de;suite;.						[7,15,2]	attendre		
5	4	Découvrir	2	1	J';espère		qu';ils;réussiront;.	1						
5	4	Découvrir	2	1	J';espérais		qu';ils;réussiraient;.	2						
5	4	Découvrir	2	1			que;vous;parviendrez;au;sommet;avant;la;nuit;.	1						
5	4	Découvrir	2	1			que;vous;parviendriez;au;sommet;.	2						
5	4	Découvrir	2	1			que;vous;aimerez;ma;tarte;.	1						
5	4	Découvrir	2	1			que;vous;aimeriez;jouer;avec;nous;.	2						
5	4	Découvrir	2	1			que;le;temps;s';améliorera;.	1						
5	4	Découvrir	2	1			que;le;temps;s';améliorerait;.	2						
5	4	Découvrir	2	1			que;tu;ne;fuiras;pas;tes;responsabilités;.	1						
5	4	Pratiquer	1	1	Théo;pense;que;son;collègue;le;/soutiendra/;.						[6,3,1];[7,10,3]	soutenir		
5	4	Pratiquer	1	1	Kevin;pensait;que;sa;voisine;la;/soutiendrait/;.						[6,3,2];[7,14,3]	soutenir		
5	4	Pratiquer	1	1	Nous;pensons;que;nos;amis;nous;/soutiendront/;.						[6,6,1];[7,10,6]	soutenir		
5	4	Pratiquer	1	1	Julien;pensait;que;nous;le;/soutiendrions/;.						[6,4,1];[7,14,4]	soutenir		
5	4	Pratiquer	1	2	Mehdi;se;doute;bien;que;nous;lui;/donnerons/;une;réponse;favorable;.						[6,4,1];[7,10,4]	donner		
5	4	Pratiquer	1	2	Il;se;doutait;bien;que;son;expérience;ne;lui;/donnerait/;aucun;avantage;.						[6,3,2];[7,14,3]	donner		
5	4	Pratiquer	1	2	Nous;nous;doutons;bien;que;vous;leur;/donnerez/;encore;du;temps;.						[6,5,1];[7,10,5]	donner		
5	4	Pratiquer	1	2	Vous;vous;doutiez;bien;que;vos;collègues;vous;/donneraient/;des;informations;.						[6,6,1];[7,14,6]	donner		
5	4	Pratiquer	1	3	Le;jardinier;dit;que,;sans;arrosage,;les;jeunes;plantations;/mourront/;.						[6,6,2];[7,10,6]	mourir		
5	4	Pratiquer	1	3	Les;jardiniers;disaient;que,;sans;eau,;les;jeunes;arbustes;/mourraient/;.						[6,6,1];[7,14,6]	mourir		
5	4	Pratiquer	1	3	L';horticulteur;dit;que,;sans;arrosage,;le;jeune;rosier;/mourra/;.						[6,3,1];[7,10,3]	mourir		
5	4	Pratiquer	1	3	L';horticulteur;disait;que,;sans;pluie,;la;jeune;haie;/mourrait/;.						[6,3,2];[7,14,3]	mourir		
5	5	Découvrir	1	1	jeter		elle;jeta							
5	5	Découvrir	1	1	acheter		il;acheta							
5	5	Découvrir	1	1	battre		elle;battit							
5	5	Découvrir	1	1	conduire		il;conduisit							
5	5	Découvrir	1	1	offrir		elles;offrirent							
5	5	Découvrir	1	1	craindre		ils;craignirent							
5	5	Découvrir	1	1	écrire		j'écrivis							
5	5	Découvrir	1	1	dormir		nous;dormîmes							
5	5	Découvrir	1	1	boire		il;but							
5	5	Découvrir	1	1	venir		il;vint							
5	5	Découvrir	1	1	obtenir		il;obtint							
5	5	Découvrir	1	1	être		il;fut							
5	5	Pratiquer	1	1	Lorsqu'il;faisait;trop;froid;,;les;trains;ne;/circulaient/;plus;.						[6,6,1];[7,0,6]	circuler		
5	5	Pratiquer	1	2	Dès;qu'il;/fit/;trop;froid;,;les;trains;ne;circulèrent;plus;.						[6,3,1];[7,13,3]	faire		
5	5	Pratiquer	1	3	Vers;dix;heures;,;Laura;s';/aperçut/;que;sa;voiture;avait;disparu;.						[6,3,2];[7,14,3]	apercevoir		
5	5	Pratiquer	1	4	Cette;année-là;,;les;deux;états;/parvinrent/;à;un;accord;de;paix;.						[6,6,1];[7,15,6]	parvenir		
5	5	Pratiquer	1	5	En;2015;,;Laura;travailla;pour;cette;entreprise;et;/obtint/;de;bons;résultats;.						[6,3,2];[7,15,3]	obtenir		
5	5	Pratiquer	1	6	Lorsqu';elle;/travaillait/;pour;cette;entreprise;,;elle;obtenait;de;bons;résultats;.						[6,3,2];[7,0,3]	travailler		
5	5	Pratiquer	1	7	En;quelques;minutes;,;le;soleil;franchit;l'horizon;et;le;brouillard;/disparut/;.						[6,3,1];[7,14,3]	disparaitre		
5	5	Pratiquer	1	8	Souvent;,;quand;le;soleil;/apparaissait/;à;l'horizon;,;le;brouillard;disparaissait;.						[6,3,1];[7,0,3]	apparaitre		
5	5	Pratiquer	1	9	En;2016;,;je;partis;au;Japon;en;janvier;et;/revins/;en;mars;.						[6,1,1];[7,15,1]	revenir		
5	5	Pratiquer	1	10	Durant;trois;ans;,;Julien;/partait/;au;Japon;en;janvier;et;revenait;en;mars;.						[6,3,1];[7,0,3]	partir		
5	5	Pratiquer	1	11	Tous;les;étés;,;Laura;se;/rendait/;dans;le;sud;de;la;France;.						[6,3,2];[7,0,3]	se;rendre		
5	5	Pratiquer	1	12	L';été;dernier;,;Inès;/descendit/;dans;le;sud;.						[6,3,2];[7,13,3]	descendre		
5	6	Classique	1	1	Si;tu;viens;,;nous;ferons;une;tarte;.				je;5					
5	6	Classique	1	1	Si;tu;viens;,;je;ferai;une;tarte;.				elle;5					
5	6	Classique	1	1	Si;tu;viens;,;elle;fera;une;tarte;.				venais;3					
5	6	Classique	1	1	Si;tu;venais;,;elle;ferait;une;tarte;.				je;5					
5	6	Classique	1	1	Si;tu;venais;,;je;ferais;une;tarte.									
5	6	Classique	2	1	Si;vous;le;souhaitez;,;elle;viendra;.				je;6					
5	6	Classique	2	1	Si;vous;le;souhaitez;,;je;viendrai;.				nous;6					
5	6	Classique	2	1	Si;vous;le;souhaitez;,;nous;viendrons;.				souhaitiez;4					
5	6	Classique	2	1	Si;vous;le;souhaitiez;,;nous;viendrions;.				je;6					
5	6	Classique	2	1	Si;vous;le;souhaitiez;,;je;viendrais.									
5	6	Classique	3	1	Si;elle;est;seule;,;nous;irons;la;voir;.				j';6					
5	6	Classique	3	1	Si;elle;est;seule;,;j';irai;la;voir;.				il;6					
5	6	Classique	3	1	Si;elle;est;seule;,;il;ira;la;voir;.				était;3					
5	6	Classique	3	1	Si;elle;était;seule;,;il;irait;la;voir;.				j';6					
5	6	Classique	3	1	Si;elle;était;seule;,;j';irais;la;voir.									
5	6	Classique	4	1	S';il;précise;les;consignes;,;ils;sauront;quoi;faire;.				je;7					
5	6	Classique	4	1	S';il;précise;les;consignes;,;je;saurai;quoi;faire;.				vous;7					
5	6	Classique	4	1	S';il;précise;les;consignes;,;vous;saurez;quoi;faire;.				précisait;3					
5	6	Classique	4	1	S';il;précisait;les;consignes;,;vous;sauriez;quoi;faire;.				je;7					
5	6	Classique	4	1	S';il;précisait;les;consignes;,;je;saurais;quoi;faire.									
5	7	Classique	1	1	Les;pays;occidentaux;/traversaient/;des;difficultés;économiques;.						[6,6,1];[7,0,6]	traverser		
5	7	Classique	1	2	Les;producteurs;de;lait;se;/retrouvent/;dans;une;situation;financière;difficile;.						[6,6,1];[7,1,6]	se;retrouver		
5	7	Classique	1	3	Sur;la;parcelle;de;plantations;OGM,;/déferlent/;de;nombreux;manifestants;.						[6,6,1];[7,1,6]	déferler		
5	7	Classique	1	4	Dans;ce;tamis;/passent/;les;matériaux;à;trier;.						[6,6,1];[7,1,6]	passer		
5	7	Classique	1	5	Dès;demain,;des;volontaires;/circuleront/;dans;les;rues;pour;venir;en;aide;aux;sans-abris;.						[6,6,1];[7,10,6]	circuler		
5	7	Classique	1	6	Dans;les;années;60,;le;pays;/investissait/;massivement;dans;la;création;de;nouvelles;infrastructures;routières;.						[6,3,1];[7,0,3]	investir		
5	7	Classique	1	7	Dimanche;prochain,;des;milliers;de;manifestants;/envahiront/;le;parvis;de;la;cathédrale;.						[6,6,1];[7,10,6]	envahir		
5	7	Classique	1	8	La;municipalité;pensait;que;les;associations;locales;/loueraient/;plus;souvent;la;salle;des;fêtes;.						[6,6,2];[7,21,6]	louer		
5	7	Classique	1	9	Est-ce;habituellement;toi;qui;/appelles/;nos;fournisseurs;?						[6,2,1];[7,1,2]	appeler		
5	7	Classique	1	10	Lors;de;la;concertation,;nul;ne;/songea/;à;abandonner;le;projet;.						[6,3,1];[7,12,3]	songer		
5	7	Classique	1	11	Jusqu';à;maintenant,;vous;/empruntiez/;systématiquement;l';autoroute;pour;aller;à;Nantes;.						[6,5,1];[7,0,5]	emprunter		
5	7	Classique	1	12	Nous;avions;une;idée;précise;de;ce;que;nous;/voulions/;.						[6,4,1];[7,0,4]	vouloir		
